comprimento de onda (nm),(1) 2.5-2.5,(1) 2.5-5,(1) 2.5-10,(2) 2.5-10,(2) 5-10,(2) 10-10,(2) 15-10,(3) 10-2.5,(3) 10-5,(3) 10-10,(3) 10-15,(3) 10-20,(4) 5-2.5,(4) 5-5,(4) 5-10,(5) 15-2.5,(5) 15-5,(5) 15-10
300,0,0,1.677,3.093,2.099,1.395,1.564,0.109,0.392,1.395,3.581,5.654,0,0.37,1.574,0.085,0.392,1.564
300.5,0,0,1.0929,2.192,1.4647,1.3638,1.4599,0.125,0.4326,1.3638,3.2829,5.2811,0,0.412,1.5057,0.0846,0.3373,1.4599
301,0,0,1,1.78,1.3451,1.4026,1.4111,0.1259,0.4454,1.4026,3.3018,5.2081,0,0.4093,1.3805,0.0837,0.35,1.4111
301.5,0,0.1892,1,1.5549,1.4019,1.3931,1.4426,0.1305,0.4008,1.3931,3.2699,5.1327,0,0.4172,1.3304,0.0834,0.351,1.4426
302,0,0.362,1,1.4067,1.3293,1.395,1.4476,0.1372,0.3851,1.395,3.3008,5.0944,0,0.4169,1.2953,0.0833,0.3515,1.4476
302.5,0,1,1,1.3422,1.354,1.4332,1.445,0.1419,0.3676,1.4332,3.3418,5.109,0,0.413,1.3304,0.0839,0.3536,1.445
303,0,1,1,1.1951,1.3559,1.4453,1.451,0.1267,0.3527,1.4453,3.3586,5.1231,0,0.4057,1.3315,0.0832,0.3541,1.451
303.5,0,1,1,1.0662,1.3568,1.4604,1.4538,0.1271,0.3647,1.4604,3.362,5.1353,0,0.3982,1.337,0.0831,0.3538,1.4538
304,0,1,1,0.9968,1.3647,1.471,1.4566,0.1515,0.3742,1.471,3.3643,5.181,0,0.42,1.3483,0.0841,0.347,1.4566
304.5,0,1,1,0.9569,1.3626,1.485,1.4566,0.1463,0.3983,1.485,3.3674,5.2148,0,0.3879,1.3427,0.0845,0.3474,1.4566
305,0,0,1,0.8959,1.3294,1.507,1.4606,0.1499,0.4465,1.507,3.3755,5.2577,0,0.3771,1.3543,0.0867,0.3443,1.4606
305.5,0,0,1,0.9264,1.4225,1.5185,1.4874,0.1533,0.4475,1.5185,3.3848,5.295,0,0.3201,1.4082,0.0771,0.3319,1.4874
306,0,0,1,0.9269,1.4805,1.5108,1.4986,0.1725,0.434,1.5108,3.3967,5.3373,0,0.2955,1.428,0.0687,0.3353,1.4986
