comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
250,261,-9742.747674,1.634,300,311,-7154.340836,1.046,350,361,-5478.608803,3.034,400,411,-7700.831025,4.129
250.5,261.5,-9669.489211,1.4643,300.5,311.5,-7102.728732,1.0111,350.5,361.5,-5440.295067,3.0466,400.5,411.5,-7662.517289,4.3097
251,262,-9596.51036,1.4491,301,312,-7051.282051,1.003,351,362,-5402.08717,3.0617,401,412,-7624.309392,4.345
251.5,262.5,-9523.809524,1.4345,301.5,312.5,-7000,0.9949,351.5,362.5,-5363.984674,3.0792,401.5,412.5,-7586.206897,4.398
252,263,-9451.385117,1.4153,302,313,-6948.881789,0.9938,352,363,-5325.987144,3.0831,402,413,-7548.209366,4.4408
252.5,263.5,-9379.235565,1.4046,302.5,313.5,-6897.926635,0.9923,352.5,363.5,-5288.094146,3.097,402.5,413.5,-7510.316369,4.4785
253,264,-9307.359307,1.3532,303,314,-6847.133758,1.0045,353,364,-5250.30525,3.1095,403,414,-7472.527473,4.5173
253.5,264.5,-9235.754793,1.3333,303.5,314.5,-6796.502385,1.0243,353.5,364.5,-5212.620027,3.122,403.5,414.5,-7434.84225,4.5559
254,265,-9164.420485,1.3663,304,315,-6746.031746,1.0447,354,365,-5175.038052,3.1337,404,415,-7397.260274,4.5955
254.5,265.5,-9093.354856,1.4281,304.5,315.5,-6695.721078,1.0524,354.5,365.5,-5137.5589,3.1453,404.5,415.5,-7359.781122,4.6363
255,266,-9022.556391,1.4119,305,316,-6645.56962,1.0432,355,366,-5100.182149,3.1605,405,416,-7322.404372,4.6723
255.5,266.5,-8952.023586,1.4391,305.5,316.5,-6595.576619,1.0431,355.5,366.5,-5062.907382,3.1714,405.5,416.5,-7285.129604,4.701
256,267,-8881.754949,1.4752,306,317,-6545.741325,1.0297,356,367,-5025.734181,3.1801,406,417,-7247.956403,4.7399
256.5,267.5,-8811.748999,1.5212,306.5,317.5,-6496.062992,1.0153,356.5,367.5,-4988.662132,3.19,406.5,417.5,-7210.884354,4.7853
257,268,-8742.004264,1.4437,307,318,-6446.540881,1.0289,357,368,-4951.690821,3.1958,407,418,-7173.913043,4.8212
257.5,268.5,-8672.519287,1.4367,307.5,318.5,-6397.174254,1.0235,357.5,368.5,-4914.81984,3.2065,407.5,418.5,-7137.042062,4.8591
258,269,-8603.292618,1.3586,308,319,-6347.962382,1.0277,358,369,-4878.04878,3.2151,408,419,-7100.271003,4.9003
258.5,269.5,-8534.32282,1.4,308.5,319.5,-6298.904538,1.0534,358.5,369.5,-4841.377237,3.2245,408.5,419.5,-7063.599459,4.9438
259,270,-8465.608466,1.4358,309,320,-6250,1.0773,359,370,-4804.804805,3.2296,409,420,-7027.027027,4.9836
259.5,270.5,-8397.148138,1.5258,309.5,320.5,-6201.24805,1.091,359.5,370.5,-4768.331084,3.2325,409.5,420.5,-6990.553306,5.0292
260,271,-8328.940432,1.5459,310,321,-6152.647975,1.0676,360,371,-4731.955675,3.2357,410,421,-6954.177898,5.0724
260.5,271.5,-8260.983952,1.5862,310.5,321.5,-6104.199067,1.0547,360.5,371.5,-4695.678182,3.2417,410.5,421.5,-6917.900404,5.1152
261,272,-8193.277311,1.5375,311,322,-6055.900621,1.0529,361,372,-4659.498208,3.2459,411,422,-6881.72043,5.1564
261.5,272.5,-8125.819135,1.5063,311.5,322.5,-6007.751938,1.0524,361.5,372.5,-4623.415362,3.2512,411.5,422.5,-6845.637584,5.2008
262,273,-8058.608059,1.4371,312,323,-5959.752322,1.0512,362,373,-4587.429252,3.2606,412,423,-6809.651475,5.2418
