comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
250,261,-9742.747674,0.338,0.687,300,311,-13314.17625,0.273,0.609,350,361,-16091.95402,0.592,1.184,450,461,-18314.17625,0.248,1.097
250.5,261.5,-9669.489211,0.2973,0.6348,300.5,311.5,-13240.91778,0.3434,0.6044,350.5,361.5,-16018.69556,0.6208,1.2119,450.5,461.5,-18240.91778,0.2333,1.0889
251,262,-9596.51036,0.3536,0.633,301,312,-13167.93893,0.3334,0.6007,351,362,-15945.71671,0.6538,1.2738,451,462,-18167.93893,0.2328,1.0983
251.5,262.5,-9523.809524,0.3847,0.6548,301.5,312.5,-13095.2381,0.331,0.5931,351.5,362.5,-15873.01587,0.6412,1.2791,451.5,462.5,-18095.2381,0.2337,1.1056
252,263,-9451.385117,0.4146,0.6648,302,313,-13022.81369,0.3412,0.5727,352,363,-15800.59147,0.6605,1.283,452,463,-18022.81369,0.2366,1.1115
252.5,263.5,-9379.235565,0.4259,0.6757,302.5,313.5,-12950.66414,0.3628,0.553,352.5,363.5,-15728.44191,0.669,1.2954,452.5,463.5,-17950.66414,0.2365,1.1163
253,264,-9307.359307,0.3965,0.6944,303,314,-12878.78788,0.336,0.5491,353,364,-15656.56566,0.6738,1.3124,453,464,-17878.78788,0.2366,1.1206
253.5,264.5,-9235.754793,0.3744,0.7188,303.5,314.5,-12807.18336,0.3319,0.5554,353.5,364.5,-15584.96114,0.6782,1.3189,453.5,464.5,-17807.18336,0.2371,1.1265
254,265,-9164.420485,0.3023,0.7121,304,315,-12735.84906,0.3239,0.5617,354,365,-15513.62683,0.6824,1.3266,454,465,-17735.84906,0.238,1.1325
254.5,265.5,-9093.354856,0.2649,0.6994,304.5,315.5,-12664.78343,0.2787,0.5761,354.5,365.5,-15442.56121,0.6891,1.3348,454.5,465.5,-17664.78343,0.2387,1.1389
255,266,-9022.556391,0.2785,0.6903,305,316,-12593.98496,0.2323,0.5929,355,366,-15371.76274,0.6939,1.3326,455,466,-17593.98496,0.2401,1.1445
