comp (1),comp_corrected (1),raman_shift (1),vidro(ex 350 5-5),plast (ex 350 5-5),comp (2),comp_corrected (2),raman_shift (2),vidro(ex 400 5-5),plast (ex 400 5-5),comp (3),comp_corrected (3),raman_shift (3),vidro(ex 450 10-10),plast (ex 450 10-10),comp (4),comp_corrected (4),raman_shift (4),vidro(ex 500 10-10),plast (ex 500 10-10)
250,261,-9742.747674,0.491,0.844,300,311,-13314.17625,0.466,0.239,350,361,-16091.95402,0.783,1.041,450,461,-18314.17625,0.462,1.077
250.5,261.5,-9669.489211,0.4981,0.5587,300.5,311.5,-13240.91778,0.2691,0.2069,350.5,361.5,-16018.69556,0.7739,1.0651,450.5,461.5,-18240.91778,0.473,1.0603
251,262,-9596.51036,0.4628,0.496,301,312,-13167.93893,0.2243,0.2196,351,362,-15945.71671,0.7955,1.0703,451,462,-18167.93893,0.4769,1.0591
251.5,262.5,-9523.809524,0.4111,0.4337,301.5,312.5,-13095.2381,0.2075,0.2536,351.5,362.5,-15873.01587,0.7799,1.0661,451.5,462.5,-18095.2381,0.4766,1.0622
252,263,-9451.385117,0.3702,0.3966,302,313,-13022.81369,0.2068,0.2639,352,363,-15800.59147,0.7825,1.0727,452,463,-18022.81369,0.4777,1.0672
252.5,263.5,-9379.235565,0.3194,0.3443,302.5,313.5,-12950.66414,0.2001,0.2786,352.5,363.5,-15728.44191,0.7882,1.0705,452.5,463.5,-17950.66414,0.4811,1.0711
253,264,-9307.359307,0.2764,0.3464,303,314,-12878.78788,0.244,0.2863,353,364,-15656.56566,0.8002,1.0677,453,464,-17878.78788,0.4832,1.0739
253.5,264.5,-9235.754793,0.2402,0.3511,303.5,314.5,-12807.18336,0.2581,0.2735,353.5,364.5,-15584.96114,0.81,1.0658,453.5,464.5,-17807.18336,0.4861,1.0776
254,265,-9164.420485,0.2306,0.384,304,315,-12735.84906,0.2655,0.2625,354,365,-15513.62683,0.8186,1.0649,454,465,-17735.84906,0.4897,1.0813
254.5,265.5,-9093.354856,0.2198,0.3718,304.5,315.5,-12664.78343,0.2703,0.2462,354.5,365.5,-15442.56121,0.8294,1.064,454.5,465.5,-17664.78343,0.494,1.0851
255,266,-9022.556391,0.2218,0.3817,305,316,-12593.98496,0.2582,0.226,355,366,-15371.76274,0.8401,1.0631,455,466,-17593.98496,0.4953,1.087
255.5,266.5,-8952.023586,0.2613,0.3939,305.5,316.5,-12523.45216,0.2316,0.2417,355.5,366.5,-15301.22994,0.8508,1.0616,455.5,466.5,-17523.45216,0.4968,1.0944
256,267,-8881.754949,0.2994,0.3847,306,317,-12453.18352,0.2007,0.2416,356,367,-15230.9613,0.862,1.0593,456,467,-17453.18352,0.5019,1.099
256.5,267.5,-8811.748999,0.3147,0.3871,306.5,317.5,-12383.17757,0.2053,0.2412,356.5,367.5,-15160.95535,0.865,1.0617,456.5,467.5,-17383.17757,0.5047,1.1055
257,268,-8742.004264,0.3059,0.3744,307,318,-12313.43284,0.2245,0.2407,357,368,-15091.21061,0.8643,1.062,457,468,-17313.43284,0.5078,1.1121
257.5,268.5,-8672.519287,0.2855,0.34,307.5,318.5,-12243.94786,0.2317,0.2412,357.5,368.5,-15021.72564,0.8684,1.0683,457.5,468.5,-17243.94786,0.5122,1.1164
258,269,-8603.292618,0.2663,0.3027,308,319,-12174.72119,0.2342,0.2405,358,369,-14952.49897,0.8656,1.0666,458,469,-17174.72119,0.5173,1.1219
258.5,269.5,-8534.32282,0.2342,0.2994,308.5,319.5,-12105.75139,0.23,0.2327,358.5,369.5,-14883.52917,0.8613,1.0724,458.5,469.5,-17105.75139,0.5213,1.1268
259,270,-8465.608466,0.2046,0.3114,309,320,-12037.03704,0.224,0.2455,359,370,-14814.81481,0.8609,1.0797,459,470,-17037.03704,0.5238,1.1309
259.5,270.5,-8397.148138,0.1665,0.3041,309.5,320.5,-11968.57671,0.2229,0.2272,359.5,370.5,-14746.35449,0.8658,1.0857,459.5,470.5,-16968.57671,0.5276,1.1395
260,271,-8328.940432,0.1741,0.2911,310,321,-11900.369,0.2125,0.237,360,371,-14678.14678,0.8639,1.0981,460,471,-16900.369,0.5319,1.1459
260.5,271.5,-8260.983952,0.2159,0.317,310.5,321.5,-11832.41252,0.2,0.2791,360.5,371.5,-14610.1903,0.8579,1.1032,460.5,471.5,-16832.41252,0.539,1.1542
261,272,-8193.277311,0.2179,0.3076,311,322,-11764.70588,0.1951,0.3103,361,372,-14542.48366,0.8581,1.1067,461,472,-16764.70588,0.5461,1.16
261.5,272.5,-8125.819135,0.1994,0.316,311.5,322.5,-11697.24771,0.2096,0.3298,361.5,372.5,-14475.02548,0.8614,1.1144,461.5,472.5,-16697.24771,0.5492,1.1681
262,273,-8058.608059,0.2327,0.3311,312,323,-11630.03663,0.2187,0.3131,362,373,-14407.81441,0.8625,1.1176,462,473,-16630.03663,0.555,1.1793
262.5,273.5,-7991.642727,0.2705,0.3326,312.5,323.5,-11563.0713,0.221,0.3248,362.5,373.5,-14340.84908,0.861,1.1189,462.5,473.5,-16563.0713,0.5619,1.1915
263,274,-7924.921794,0.2958,0.3136,313,324,-11496.35036,0.2226,0.3545,363,374,-14274.12814,0.8603,1.1189,463,474,-16496.35036,0.5705,1.2029
263.5,274.5,-7858.443924,0.3042,0.3268,313.5,324.5,-11429.8725,0.2157,0.3607,363.5,374.5,-14207.65027,0.8633,1.1217,463.5,474.5,-16429.8725,0.579,1.2186
264,275,-7792.207792,0.3121,0.3674,314,325,-11363.63636,0.2109,0.3626,364,375,-14141.41414,0.8627,1.1244,464,475,-16363.63636,0.5868,1.2351
264.5,275.5,-7726.212082,0.3105,0.3932,314.5,325.5,-11297.64065,0.2072,0.3268,364.5,375.5,-14075.41843,0.8645,1.1125,464.5,475.5,-16297.64065,0.5941,1.2539
265,276,-7660.455487,0.2918,0.3597,315,326,-11231.88406,0.2017,0.3235,365,376,-14009.66184,0.8688,1.1094,465,476,-16231.88406,0.6027,1.2725
265.5,276.5,-7594.936709,0.266,0.3981,315.5,326.5,-11166.36528,0.192,0.3271,365.5,376.5,-13944.14306,0.8681,1.1153,465.5,476.5,-16166.36528,0.6084,1.2938
266,277,-7529.654461,0.2195,0.4163,316,327,-11101.08303,0.1829,0.3029,366,377,-13878.86081,0.866,1.1162,466,477,-16101.08303,0.6117,1.312
266.5,277.5,-7464.607465,0.203,0.4284,316.5,327.5,-11036.03604,0.191,0.2677,366.5,377.5,-13813.81381,0.8713,1.1211,466.5,477.5,-16036.03604,0.6058,1.319
267,278,-7399.79445,0.2096,0.4175,317,328,-10971.22302,0.1803,0.2203,367,378,-13749.0008,0.873,1.1247,467,478,-15971.22302,0.5979,1.3067
267.5,278.5,-7335.214157,0.246,0.3617,317.5,328.5,-10906.64273,0.2186,0.2274,367.5,378.5,-13684.42051,0.8729,1.1297,467.5,478.5,-15906.64273,0.5842,1.2777
268,279,-7270.865335,0.2684,0.3437,318,329,-10842.29391,0.2491,0.2497,368,379,-13620.07168,0.8806,1.1283,468,479,-15842.29391,0.5665,1.2395
268.5,279.5,-7206.746742,0.2762,0.3445,318.5,329.5,-10778.17531,0.2559,0.2385,368.5,379.5,-13555.95309,0.8819,1.1367,468.5,479.5,-15778.17531,0.5463,1.1985
269,280,-7142.857143,0.3144,0.3138,319,330,-10714.28571,0.2571,0.2144,369,380,-13492.06349,0.8909,1.1469,469,480,-15714.28571,0.525,1.1604
269.5,280.5,-7079.195314,0.3373,0.329,319.5,330.5,-10650.62389,0.2569,0.2278,369.5,380.5,-13428.40166,0.9009,1.1512,469.5,480.5,-15650.62389,0.5171,1.1513
270,281,-7015.760041,0.3305,0.3696,320,331,-10587.18861,0.2436,0.2391,370,381,-13364.96639,0.9074,1.1573,470,481,-15587.18861,0.5288,1.217
