time(ch1),voltage(ch1),time(ch2),voltage(ch2)
-0.0000125,-2.2436,-0.0000125,-60.48
-0.00001249,-2.212,-0.00001249,-60.48
-0.00001248,-2.212,-0.00001248,-59.04
-0.00001247,-2.1804,-0.00001247,-60.48
-0.00001246,-2.212,-0.00001246,-60.48
-0.00001245,-2.212,-0.00001245,-59.04
-0.00001244,-2.1488,-0.00001244,-59.04
-0.00001243,-2.212,-0.00001243,-59.04
-0.00001242,-2.1488,-0.00001242,-57.6
-0.00001241,-2.1488,-0.00001241,-54.72
-0.0000124,-2.1804,-0.0000124,-59.04
-0.00001239,-2.1488,-0.00001239,-59.04
-0.00001238,-2.1172,-0.00001238,-59.04
-0.00001237,-2.1172,-0.00001237,-59.04
-0.00001236,-2.0856,-0.00001236,-56.16
-0.00001235,-2.1488,-0.00001235,-59.04
-0.00001234,-2.1172,-0.00001234,-56.16
-0.00001233,-2.1488,-0.00001233,-60.48
-0.00001232,-2.1172,-0.00001232,-59.04
-0.00001231,-2.1488,-0.00001231,-56.16
-0.0000123,-2.0856,-0.0000123,-56.16
-0.00001229,-2.0856,-0.00001229,-56.16
-0.00001228,-2.1172,-0.00001228,-59.04
-0.00001227,-2.1172,-0.00001227,-59.04
-0.00001226,-2.0856,-0.00001226,-57.6
-0.00001225,-2.054,-0.00001225,-54.72
-0.00001224,-2.0856,-0.00001224,-56.16
-0.00001223,-2.1172,-0.00001223,-59.04
-0.00001222,-2.0856,-0.00001222,-59.04
-0.00001221,-2.054,-0.00001221,-54.72
-0.0000122,-2.054,-0.0000122,-57.6
-0.00001219,-2.0224,-0.00001219,-54.72
-0.00001218,-2.0224,-0.00001218,-54.72
-0.00001217,-1.9908,-0.00001217,-56.16
-0.00001216,-2.054,-0.00001216,-54.72
-0.00001215,-2.0856,-0.00001215,-53.28
-0.00001214,-2.054,-0.00001214,-54.72
-0.00001213,-1.9592,-0.00001213,-57.6
-0.00001212,-2.0224,-0.00001212,-54.72
-0.00001211,-1.9592,-0.00001211,-51.84
-0.0000121,-2.054,-0.0000121,-54.72
-0.00001209,-2.0224,-0.00001209,-54.72
-0.00001208,-1.9276,-0.00001208,-53.28
-0.00001207,-1.9592,-0.00001207,-53.28
-0.00001206,-1.9908,-0.00001206,-54.72
-0.00001205,-1.9908,-0.00001205,-51.84
-0.00001204,-1.9276,-0.00001204,-53.28
-0.00001203,-1.9592,-0.00001203,-53.28
-0.00001202,-1.9908,-0.00001202,-51.84
-0.00001201,-1.9276,-0.00001201,-51.84
-0.000012,-1.9276,-0.000012,-54.72
-0.00001199,-1.896,-0.00001199,-53.28
-0.00001198,-1.9276,-0.00001198,-50.4
-0.00001197,-1.896,-0.00001197,-50.4
-0.00001196,-1.896,-0.00001196,-50.4
-0.00001195,-1.8644,-0.00001195,-51.84
-0.00001194,-1.9276,-0.00001194,-53.28
-0.00001193,-1.8328,-0.00001193,-50.4
-0.00001192,-1.896,-0.00001192,-47.52
-0.00001191,-1.8644,-0.00001191,-50.4
-0.0000119,-1.8644,-0.0000119,-51.84
-0.00001189,-1.8328,-0.00001189,-53.28
-0.00001188,-1.8328,-0.00001188,-48.96
-0.00001187,-1.8012,-0.00001187,-48.96
-0.00001186,-1.7696,-0.00001186,-48.96
-0.00001185,-1.8012,-0.00001185,-48.96
-0.00001184,-1.8012,-0.00001184,-48.96
-0.00001183,-1.738,-0.00001183,-47.52
-0.00001182,-1.7696,-0.00001182,-46.08
-0.00001181,-1.8012,-0.00001181,-47.52
-0.0000118,-1.738,-0.0000118,-47.52
-0.00001179,-1.7696,-0.00001179,-47.52
