time(ch1),voltage(ch1),time(ch2),voltage(ch2)
-0.0000125,-0.5688,-0.0000125,-6.432
-0.00001249,-0.5688,-0.00001249,-7.504
-0.00001248,-0.5688,-0.00001248,-5.36
-0.00001247,-0.632,-0.00001247,-7.504
-0.00001246,-0.632,-0.00001246,-5.36
-0.00001245,-0.5688,-0.00001245,-6.432
-0.00001244,-0.5056,-0.00001244,-5.36
-0.00001243,-0.5056,-0.00001243,-5.36
-0.00001242,-0.5688,-0.00001242,-6.432
-0.00001241,-0.5056,-0.00001241,-5.36
-0.0000124,-0.5056,-0.0000124,-4.288
-0.00001239,-0.5688,-0.00001239,-4.288
-0.00001238,-0.5688,-0.00001238,-4.288
-0.00001237,-0.5056,-0.00001237,-4.288
-0.00001236,-0.5688,-0.00001236,-5.36
-0.00001235,-0.5056,-0.00001235,-3.216
-0.00001234,-0.5056,-0.00001234,-5.36
-0.00001233,-0.5056,-0.00001233,-3.216
-0.00001232,-0.4424,-0.00001232,-2.144
-0.00001231,-0.5056,-0.00001231,-4.288
-0.0000123,-0.5056,-0.0000123,-5.36
-0.00001229,-0.5056,-0.00001229,-2.144
-0.00001228,-0.4424,-0.00001228,-2.144
-0.00001227,-0.5056,-0.00001227,-3.216
-0.00001226,-0.3792,-0.00001226,-3.216
-0.00001225,-0.3792,-0.00001225,-4.288
-0.00001224,-0.3792,-0.00001224,-1.072
-0.00001223,-0.3792,-0.00001223,-2.144
-0.00001222,-0.4424,-0.00001222,-4.288
-0.00001221,-0.3792,-0.00001221,-3.216
-0.0000122,-0.4424,-0.0000122,-2.144
-0.00001219,-0.3792,-0.00001219,1.072
-0.00001218,-0.3792,-0.00001218,-1.072
-0.00001217,-0.316,-0.00001217,0
-0.00001216,-0.3792,-0.00001216,-2.144
-0.00001215,-0.316,-0.00001215,-1.072
-0.00001214,-0.316,-0.00001214,2.144
-0.00001213,-0.4424,-0.00001213,1.072
-0.00001212,-0.316,-0.00001212,1.072
