tempo,sinal_ac,corrente_1800,corrente_1698,corrente_1603,corrente_1902
0.00021,-8.48,0.08,0,0,0
0.000211,-8.48,0.08,0,0,0
0.000212,-8.48,0.08,0,0,0
0.000213,-8.48,0.08,0,0,0
0.000214,-8.48,0.08,0,0,0
0.000215,-8.48,0.08,0,0,0
0.000216,-8.48,0.08,0,0,0
0.000217,-8.48,0.08,0,0,0
0.000218,-8.48,0.08,0,0,0
0.000219,-8.48,0.08,0,0,0
0.00022,-8.48,0.08,0,0,0
0.000221,-8.48,0.08,0,0,0
0.000222,-8.48,0,0,0,0
0.000223,-8.48,0,0,0,0
0.000224,-8.4,0.08,0,0,0
0.000225,-8.4,0,0,0,0
0.000226,-8.4,0,0,0,0
0.000227,-8.4,0,0,0,0
0.000228,-8.4,0,0,0,0
0.000229,-8.4,0,0,0,0
0.00023,-8.4,0,0,0,0
0.000231,-8.4,0,0,0,0
0.000232,-8.4,0,0,0.08,0
0.000233,-8.4,0,0,0,0
0.000234,-8.4,0,0,0,0
0.000235,-8.4,0,0,0.08,0
0.000236,-8.4,0,0,0.08,0
0.000237,-8.4,0,0,0.08,0
0.000238,-8.4,0,0,0,0
0.000239,-8.4,0,0,0,0
0.00024,-8.32,0,0.08,0,0
0.000241,-8.32,0,0,0,0
0.000242,-8.32,0.08,0,0,0
0.000243,-8.32,0,0,0,0
0.000244,-8.32,0.08,0,0,0
0.000245,-8.32,0,0,0,0
0.000246,-8.32,0,0,0.08,0.08
0.000247,-8.32,0.08,0,0,0.08
0.000248,-8.32,0,0,0,0
0.000249,-8.32,0,0,0,0
0.00025,-8.32,0,0,0,0
0.000251,-8.32,0,0.08,0,0
0.000252,-8.32,0,0.08,0,0.08
0.000253,-8.32,0.08,0,0,0
0.000254,-8.32,0,0,0,0
0.000255,-8.32,0.08,0,0,0
0.000256,-8.24,0,0,0,0
0.000257,-8.24,0.08,0,0,0
0.000258,-8.24,0.08,0,0,0
0.000259,-8.24,0.08,0,0,0
0.00026,-8.24,0.08,0,0,0
0.000261,-8.24,0,0,0,0
0.000262,-8.24,0,0,0,0
0.000263,-8.24,0,0,0,0
0.000264,-8.24,0,0,0,0
0.000265,-8.24,0,0,0.08,0
0.000266,-8.24,0,0,0,0
0.000267,-8.24,0,0,0.08,0
0.000268,-8.24,0,0,0.08,0
0.000269,-8.24,0,0,0,0
0.00027,-8.24,0,0,0,0
0.000271,-8.24,0,0,0.08,0
0.000272,-8.24,0,0,0.08,0
0.000273,-8.16,0,0,0.08,0
0.000274,-8.16,0,0,0.08,0
0.000275,-8.16,0,0,0,0
0.000276,-8.16,0,0,0.08,0
0.000277,-8.16,0,0,0.08,0
0.000278,-8.16,0,0,0.08,0
0.000279,-8.16,0,0,0.08,0
0.00028,-8.16,0,0,0.08,0
0.000281,-8.16,0,0,0.08,0
0.000282,-8.16,0,0,0.08,0
0.000283,-8.16,0,0,0.08,0
0.000284,-8.16,0,0,0.08,0
0.000285,-8.16,0,0,0,0
0.000286,-8.16,0,0,0.08,0
0.000287,-8.16,0,0,0.08,0
0.000288,-8.16,0,0,0.08,0
0.000289,-8.08,0.08,0,0.08,0
0.00029,-8.08,0,0,0.08,0
0.000291,-8.08,0.08,0,0.08,0.08
0.000292,-8.08,0.08,0.08,0.08,0.08
0.000293,-8.08,0.08,0.08,0.08,0.08
0.000294,-8.08,0,0.08,0.08,0.08
0.000295,-8.08,0,0,0.08,0.08
0.000296,-8.08,0.08,0.08,0.08,0.08
0.000297,-8.08,0.08,0,0.08,0.08
0.000298,-8.08,0.08,0,0.08,0.08
0.000299,-8.08,0.08,0,0.08,0.08
0.0003,-8.08,0.08,0,0.08,0.08
0.000301,-8.08,0.08,0,0.08,0.08
0.000302,-8.08,0.08,0,0,0.08
0.000303,-8.08,0.08,0,0.08,0.08
0.000304,-8.08,0.08,0,0,0.08
0.000305,-8,0.08,0,0,0
0.000306,-8,0.08,0.08,0,0
0.000307,-8,0.08,0.08,0,0
0.000308,-8,0.08,0,0,0
0.000309,-8,0.08,0,0,0
0.00031,-8,0.08,0,0,0
0.000311,-8,0,0,0,0
0.000312,-8,0,0,0,0
0.000313,-8,0,0,0,0
0.000314,-8,0,0,0,0
0.000315,-8,0,0,0,0
0.000316,-8,0,0,0,0
0.000317,-8,0,0,0,0
0.000318,-8,0,0,0,0
0.000319,-8,0,0,0,0
0.00032,-7.92,0,0,0,0
0.000321,-7.92,0,0,0,0
0.000322,-7.92,0,0,0.08,0
0.000323,-7.92,0,0.08,0.08,0
0.000324,-7.92,0,0.08,0.08,0
0.000325,-7.92,0,0.08,0.08,0
0.000326,-7.92,0,0.08,0.08,0
0.000327,-7.92,0,0.08,0.08,0
0.000328,-7.92,0,0.08,0.08,0
0.000329,-7.92,0,0.08,0.08,0
0.00033,-7.92,0,0.08,0.08,0
0.000331,-7.92,0,0.08,0.08,0
0.000332,-7.92,0,0.08,0.08,0
0.000333,-7.92,0,0.08,0.08,0
0.000334,-7.92,0,0.08,0.08,0
0.000335,-7.92,0,0.08,0.08,0
0.000336,-7.84,0,0.08,0.08,0
0.000337,-7.84,0,0.08,0.08,0
0.000338,-7.84,0,0.08,0.08,0
0.000339,-7.84,0,0,0.08,0
0.00034,-7.84,0,0,0.08,0
0.000341,-7.84,0,0,0,0
0.000342,-7.84,0,0,0,0
0.000343,-7.84,0,0,0,0
0.000344,-7.84,0,0,0,0
0.000345,-7.84,0,0,0,0
0.000346,-7.84,0,0,0,0
0.000347,-7.84,0,0,0,0
0.000348,-7.84,0,0,0,0
0.000349,-7.84,0,0,0,0
0.00035,-7.84,0,0,0,0
0.000351,-7.76,0,0,0,0
0.000352,-7.76,0,0,0,0
0.000353,-7.76,0,0,0,0
0.000354,-7.76,0,0,0,0
0.000355,-7.76,0,0,0,0
0.000356,-7.76,0,0,0,0
0.000357,-7.76,0,0,0,0
0.000358,-7.76,0,0,0,0
0.000359,-7.76,0,0,0,0
0.00036,-7.76,0,0,0,0
