tempo,tensão_1,corrente_1,tensão_2,corrente_2,tensão_3,corrente_3,tensão_4,corrente_4
-0.01104,-10.4,0.08,-7.4,0,-10.2,0,-6.6,0.02
-0.01103,-10.4,0.08,-7.6,0,-10.2,0,-6.6,0.04
-0.01102,-10.4,0.08,-7.6,0,-10.2,0,-6.6,0.06
-0.01101,-10.4,0,-7.6,0,-10.2,0,-6.4,0.06
-0.011,-10.4,0.08,-7.6,0,-10.2,0,-6.4,0.04
-0.01099,-10.4,0.08,-7.6,0,-10.2,0,-6.4,0.02
-0.01098,-10.4,0.08,-7.8,0,-10.2,0,-6.2,0.02
-0.01097,-10.4,0,-7.8,0,-10.2,0,-6.2,0.06
-0.01096,-10.4,0.08,-7.8,0,-10.2,0,-6.2,0.04
-0.01095,-10.4,0,-7.8,0,-10.2,0,-6.2,0.04
-0.01094,-10.4,0,-8,0,-10.2,0,-6,0.02
-0.01093,-10.4,0.08,-8,0,-10.2,0,-6,0.04
-0.01092,-10.4,0.08,-8,0,-10.2,0,-6,0.04
-0.01091,-10.4,0,-8,0,-10.2,0,-6,0.04
-0.0109,-10.4,0,-8,0,-10.2,0,-5.8,0.02
-0.01089,-10.4,0.08,-8.2,0,-10.2,0,-5.8,0.02
-0.01088,-10.4,0.08,-8.2,0,-10.2,0,-5.8,0.02
-0.01087,-10.4,0,-8.2,0,-10.2,0,-5.6,0.04
-0.01086,-10.4,0,-8.2,0,-10.2,0,-5.6,0.04
-0.01085,-10.4,0,-8.2,0,-10.2,0,-5.6,0.02
-0.01084,-10.6,0.08,-8.2,0,-10.2,0.08,-5.4,0
-0.01083,-10.6,0,-8.4,0,-10.2,0,-5.4,0.04
-0.01082,-10.6,0,-8.4,0,-10.2,0,-5.4,0.04
-0.01081,-10.6,0,-8.4,0,-10.2,0,-5.2,0.04
-0.0108,-10.6,0,-8.4,0,-10.2,0,-5.2,0.04
-0.01079,-10.6,0,-8.4,0,-10.2,0,-5,0.06
-0.01078,-10.6,0,-8.4,0,-10.2,0,-5,0.02
-0.01077,-10.6,0,-8.6,0,-10.2,0,-5,0.02
-0.01076,-10.6,0,-8.6,0,-10.2,0.08,-4.8,0.02
-0.01075,-10.6,0,-8.6,0,-10.2,0.08,-4.8,0.04
-0.01074,-10.6,0,-8.6,0,-10.2,0,-4.8,0.02
-0.01073,-10.6,0,-8.6,0.08,-10.2,0,-4.6,0.02
-0.01072,-10.6,0,-8.8,0.08,-10.2,0,-4.6,0.02
-0.01071,-10.6,0,-8.8,0,-10.2,0,-4.6,0.02
-0.0107,-10.6,0,-8.8,0,-10.2,0.08,-4.6,0.02
-0.01069,-10.6,0,-8.8,0,-10,0,-4.4,0.02
-0.01068,-10.6,0,-9,0,-10,0,-4.4,0.02
-0.01067,-10.6,0,-9,0,-10,0,-4.4,0
-0.01066,-10.6,0,-9,0,-10,0,-4.2,0.02
-0.01065,-10.4,0,-9,0,-10,0.08,-4.2,0.04
-0.01064,-10.4,0,-9,0,-10,0,-4.2,0.04
-0.01063,-10.4,0,-9.2,0.08,-10,0,-4,0
-0.01062,-10.4,0,-9.2,0.08,-10,0,-4,0
-0.01061,-10.4,0,-9.2,0,-10,0,-4,0.02
-0.0106,-10.4,0,-9.2,0,-10,0,-3.8,0.04
-0.01059,-10.4,0,-9.2,0.08,-10,0,-3.8,0.02
-0.01058,-10.4,0,-9.4,0.08,-10,0,-3.8,0
-0.01057,-10.4,0,-9.4,0.08,-10,0.08,-3.6,0.02
-0.01056,-10.4,0,-9.4,0.08,-10,0.08,-3.6,0.04
-0.01055,-10.4,0,-9.4,0.08,-10,0,-3.6,0.02
-0.01054,-10.4,0,-9.4,0.08,-10,0,-3.4,0.02
-0.01053,-10.4,0,-9.6,0,-10,0.08,-3.4,0.02
-0.01052,-10.4,0,-9.6,0.08,-10,0.08,-3.2,0.02
-0.01051,-10.4,0,-9.6,0.08,-10,0.08,-3.2,0.06
-0.0105,-10.4,0,-9.6,0.08,-10,0,-3.2,0.06
-0.01049,-10.4,0,-9.6,0.08,-10,0,-3,0.02
-0.01048,-10.4,0,-9.8,0.08,-10,0.08,-3,0
-0.01047,-10.4,0,-9.8,0.08,-10,0.08,-3,0.02
-0.01046,-10.4,0,-9.8,0.08,-10,0,-2.8,0.06
-0.01045,-10.4,0,-9.8,0.08,-10,0,-2.8,0.04
-0.01044,-10.2,0,-9.8,0.08,-10,0,-2.8,0.02
-0.01043,-10.2,0,-10,0.08,-10,0.08,-2.6,0.02
-0.01042,-10.2,0,-10,0.08,-10,0,-2.6,0.04
-0.01041,-10.2,0,-10,0.08,-10,0,-2.6,0.04
-0.0104,-10.2,0,-10,0.08,-10,0,-2.4,0.02
-0.01039,-10.2,0,-10,0.08,-10,0.08,-2.4,0.02
-0.01038,-10.2,0,-10.2,0.08,-10,0.08,-2.4,0.04
-0.01037,-10.2,0,-10.2,0.08,-10,0,-2.2,0.02
-0.01036,-10.2,0,-10.2,0.08,-10,0,-2.2,0.04
-0.01035,-10.2,0,-10.2,0,-10,0,-2,0.02
-0.01034,-10.2,0,-10.4,0,-10,0,-2,0.02
-0.01033,-10,0,-10.4,0.08,-10,0.08,-2,0.04
-0.01032,-10,0,-10.4,0.08,-10,0.08,-1.8,0.04
-0.01031,-10,0,-10.4,0.08,-10,0,-1.8,0.04
-0.0103,-10,0,-10.4,0,-10,0,-1.8,0.02
-0.01029,-10,0.08,-10.4,0,-9.8,0,-1.6,0.02
-0.01028,-10,0.08,-10.4,0.08,-9.8,0,-1.6,0.04
-0.01027,-10,0.08,-10.4,0.08,-9.8,0,-1.6,0.06
-0.01026,-10,0.16,-10.4,0,-9.8,0,-1.4,0.02
-0.01025,-9.8,0.08,-10.6,0,-9.8,0.08,-1.4,0
-0.01024,-9.8,0,-10.4,0,-9.8,0.08,-1.4,0.02
-0.01023,-9.8,0,-10.4,0.08,-9.8,0,-1.2,0.04
-0.01022,-9.8,0.08,-10.4,0.08,-9.8,0,-1.2,0.04
-0.01021,-9.8,0.08,-10.4,0,-9.8,0,-1,0.02
-0.0102,-9.8,0.08,-10.4,0,-9.8,0.08,-1,0.02
-0.01019,-9.8,0,-10.4,0.08,-9.8,0,-1,0.04
-0.01018,-9.8,0.08,-10.4,0.08,-9.8,0,-0.8,0.04
-0.01017,-9.8,0.08,-10.4,0,-9.8,0,-0.8,0.04
-0.01016,-9.6,0.08,-10.2,0,-9.8,0.08,-0.8,0.02
-0.01015,-9.6,0.08,-10.2,0,-9.8,0.08,-0.6,0.02
-0.01014,-9.6,0,-10.2,0.08,-9.8,0.08,-0.6,0.04
-0.01013,-9.6,0.08,-10.2,0,-9.8,0.08,-0.4,0.04
-0.01012,-9.6,0.08,-10,0,-9.8,0.08,-0.4,0.02
-0.01011,-9.6,0.08,-10,0,-9.8,0.08,-0.4,0.02
