comp,int (ex 250 vidro),int (ex 250 plast),int (ex 300 vidro),int (ex 300 plast)
200,0.507,0.342,0.125,4.145
200.5,0.3461,0.385,0.185,4.2314
201,0.3494,0.3541,0.2037,4.2217
201.5,0.359,0.3967,0.1959,4.249
202,0.4038,0.3762,0.188,4.2387
202.5,0.4362,0.3419,0.1782,4.2415
203,0.4498,0.3552,0.1707,4.2372
203.5,0.4586,0.3589,0.1712,4.2378
204,0.4681,0.3628,0.169,4.2364
204.5,0.4762,0.3634,0.1651,4.2332
205,0.4966,0.3729,0.1603,4.2446
205.5,0.5142,0.3866,0.1535,4.2399
206,0.5155,0.3766,0.1579,4.2568
206.5,0.5205,0.3442,0.1564,4.2567
207,0.548,0.3081,0.161,4.2714
207.5,0.5134,0.2749,0.1724,4.2483
208,0.5096,0.2843,0.1917,4.2623
208.5,0.4711,0.2877,0.1968,4.2861
209,0.4467,0.2631,0.1946,4.2912
209.5,0.425,0.2261,0.2034,4.2708
210,0.4178,0.1804,0.2114,4.2852
210.5,0.4155,0.1474,0.21,4.2966
211,0.4105,0.1512,0.2114,4.2949
211.5,0.418,0.1603,0.2081,4.3092
212,0.4266,0.1802,0.2099,4.3306
212.5,0.4212,0.2252,0.2171,4.3272
213,0.4577,0.2672,0.2213,4.3211
213.5,0.4547,0.308,0.2189,4.3482
214,0.4386,0.367,0.2132,4.3718
214.5,0.4103,0.3804,0.2128,4.381
215,0.3958,0.4347,0.2044,4.4062
215.5,0.3735,0.4594,0.2049,4.4216
216,0.3719,0.4363,0.2094,4.4354
216.5,0.3732,0.4298,0.2092,4.4515
217,0.3905,0.4321,0.2194,4.4496
217.5,0.3547,0.4186,0.2265,4.443
218,0.3673,0.4097,0.2248,4.4467
218.5,0.3514,0.3847,0.2199,4.4396
219,0.335,0.3333,0.2153,4.3985
219.5,0.3353,0.2919,0.2142,4.3891
220,0.3577,0.2964,0.2218,4.4018
220.5,0.394,0.2656,0.2177,4.3897
221,0.4227,0.2582,0.2135,4.3754
221.5,0.4417,0.2634,0.2069,4.3688
222,0.4759,0.2775,0.2114,4.3456
222.5,0.501,0.2964,0.2139,4.3476
223,0.5116,0.3041,0.2086,4.342
223.5,0.4639,0.3513,0.1973,4.3742
224,0.4319,0.3789,0.1902,4.3724
224.5,0.418,0.3544,0.1898,4.3694
225,0.4,0.3967,0.1967,4.425
225.5,0.3924,0.4106,0.1998,4.452
226,0.3917,0.4067,0.2115,4.4795
226.5,0.4014,0.4128,0.2162,4.5205
227,0.4432,0.3926,0.2209,4.5428
227.5,0.4426,0.3827,0.2089,4.5657
228,0.4706,0.3813,0.1987,4.5688
228.5,0.4688,0.3843,0.1974,4.588
229,0.476,0.3631,0.1999,4.5968
229.5,0.4993,0.3645,0.2053,4.6282
230,0.5215,0.3718,0.2127,4.6123
230.5,0.5485,0.3503,0.2094,4.5865
231,0.5687,0.3546,0.1974,4.5592
231.5,0.5703,0.3841,0.1911,4.5569
232,0.5833,0.4001,0.1943,4.5294
232.5,0.5808,0.4088,0.18,4.5326
233,0.5736,0.4431,0.173,4.5076
233.5,0.5553,0.4931,0.1687,4.5024
234,0.5539,0.5252,0.1636,4.4832
234.5,0.5636,0.5415,0.1633,4.5006
235,0.5494,0.5542,0.1672,4.5495
235.5,0.5762,0.5571,0.1668,4.5744
236,0.5852,0.5639,0.1775,4.5947
236.5,0.5912,0.572,0.1843,4.6056
237,0.6031,0.5397,0.1866,4.6136
237.5,0.6078,0.5445,0.1797,4.654
238,0.6063,0.5429,0.1891,4.6648
238.5,0.6022,0.513,0.1949,4.6695
239,0.6137,0.4877,0.2014,4.6676
239.5,0.5959,0.4949,0.2092,4.6817
240,0.5964,0.4679,0.2164,4.6453
240.5,0.5881,0.4503,0.2137,4.6281
241,0.5924,0.4397,0.2014,4.6336
241.5,0.5515,0.4473,0.1969,4.6376
242,0.5428,0.4448,0.1971,4.645
242.5,0.5185,0.4605,0.1873,4.6663
243,0.4827,0.5039,0.1836,4.6546
243.5,0.4653,0.5393,0.1675,4.6507
244,0.4749,0.5496,0.1586,4.6535
244.5,0.4816,0.5513,0.1562,4.681
245,0.4775,0.5448,0.1476,4.6855
245.5,0.4567,0.5864,0.1449,4.6632
246,0.4301,0.6064,0.148,4.6485
246.5,0.4211,0.6116,0.1511,4.6457
247,0.4107,0.5842,0.1505,4.6968
247.5,0.4289,0.5823,0.1542,4.7068
248,0.4096,0.5839,0.1703,4.6969
248.5,0.4175,0.575,0.1725,4.6869
249,0.4176,0.5837,0.1811,4.6701
249.5,0.4241,0.567,0.1972,4.6639
250,0.4259,0.5401,0.214,4.6399
250.5,0.4237,0.5261,0.2156,4.6715
251,0.4545,0.5022,0.2201,4.6989
251.5,0.4486,0.4843,0.2292,4.7048
252,0.4541,0.4739,0.2357,4.7257
252.5,0.4628,0.4425,0.2309,4.7288
253,0.4756,0.4268,0.2445,4.7441
253.5,0.5017,0.4067,0.2476,4.7777
254,0.5184,0.3954,0.2483,4.7737
254.5,0.5086,0.3768,0.2453,4.7985
255,0.5033,0.3703,0.2395,4.8018
255.5,0.5051,0.3773,0.2446,4.8117
256,0.5216,0.3705,0.2424,4.8367
256.5,0.519,0.3758,0.2406,4.8494
257,0.5294,0.3729,0.2409,4.8996
257.5,0.5293,0.4007,0.2441,4.8513
258,0.5183,0.4423,0.245,4.8396
258.5,0.5337,0.4841,0.2434,4.8248
259,0.5468,0.4988,0.2502,4.8013
259.5,0.5524,0.5045,0.2536,4.7967
260,0.521,0.5425,0.2541,4.8001
260.5,0.5324,0.5545,0.2417,4.8102
261,0.5258,0.5682,0.229,4.7873
261.5,0.4754,0.5843,0.2174,4.7567
262,0.4605,0.5902,0.2077,4.7735
262.5,0.4442,0.6052,0.2076,4.7746
263,0.4064,0.6149,0.2156,4.7888
263.5,0.398,0.6304,0.2074,4.7802
264,0.3675,0.6286,0.1976,4.7563
264.5,0.3571,0.6065,0.2021,4.7967
265,0.377,0.6026,0.1985,4.8255
265.5,0.3921,0.6092,0.1954,4.823
266,0.3907,0.62,0.1888,4.8427
266.5,0.4073,0.6116,0.1952,4.851
267,0.4418,0.6322,0.2041,4.8741
267.5,0.4324,0.6267,0.2099,4.8573
268,0.4354,0.6175,0.2123,4.873
268.5,0.4515,0.6087,0.2231,4.8843
269,0.4402,0.5941,0.2282,4.9211
269.5,0.4294,0.5898,0.219,4.946
270,0.4225,0.6014,0.2142,4.8646
270.5,0.4338,0.6311,0.1997,4.918
271,0.4296,0.6541,0.191,5.0571
271.5,0.4244,0.6523,0.1766,5.4649
272,0.4581,0.6626,0.1743,5.7663
272.5,0.446,0.6578,0.1772,6.2651
273,0.4517,0.6389,0.1797,6.9023
273.5,0.4767,0.6225,0.1891,7.6235
274,0.5019,0.5941,0.188,9.0057
274.5,0.5159,0.531,0.2019,11.4833
275,0.5531,0.5384,0.2101,14.2012
275.5,0.5692,0.5245,0.2269,17.5184
276,0.5761,0.5411,0.2576,21.2135
276.5,0.5758,0.5723,0.2915,27.3732
277,0.5474,0.6252,0.3226,36.1949
277.5,0.5105,0.6358,0.3623,46.3403
278,0.497,0.6898,0.3975,53.8536
278.5,0.4903,0.7618,0.4306,67.7981
279,0.4631,0.8472,0.4783,86.6967
279.5,0.427,0.9193,0.5325,109.1096
280,0.414,1.0115,0.5844,129.7483
280.5,0.3901,1.0546,0.6281,154.2884
281,0.3849,1.108,0.6903,187.3893
