comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
339,350,0,0.3310367027,0.8039354719,389,400,0,0.4927821026,0.6235497714,439,450,0,0.733876024,2.362768422,489,500,0,95.0055,638.6647
339.5,350.5,40.75810067,0.3312374863,0.8046257558,389.5,400.5,31.21098627,0.4940009361,0.6237435284,439.5,450.5,24.66395363,0.734132102,2.369048293,489.5,500.5,19.98001998,95.6414,652.191
340,351,81.4000814,0.33143827,0.8053160396,390,401,62.34413965,0.4952197696,0.6239372853,440,451,49.27322,0.73438818,2.375328164,490,501,39.92015968,95.6439,661.3013
340.5,351.5,121.9264377,0.3316390537,0.8060063234,390.5,401.5,93.39975093,0.4964386031,0.6241310423,440.5,451.5,73.8279808,0.734644258,2.381608035,490.5,501.5,59.82053838,94.9309,665.5814
341,352,162.3376623,0.3318398374,0.8066966073,391,402,124.3781095,0.4976574365,0.6243247993,441,452,98.32841691,0.734900336,2.387887906,491,502,79.6812749,93.5399,664.9199
341.5,352.5,202.6342452,0.3320406211,0.8073868911,391.5,402.5,155.2795031,0.49887627,0.6245185563,441.5,452.5,122.7747084,0.735156414,2.394167777,491.5,502.5,99.50248756,91.5053,659.6066
342,353,242.8166734,0.3322414047,0.8080771749,392,403,186.1042184,0.5000951035,0.6247123132,442,453,147.1670346,0.735412492,2.400447648,492,503,119.2842942,88.8758,649.6213
342.5,353.5,282.8854314,0.3324421884,0.8087674587,392.5,403.5,216.8525403,0.501313937,0.6249060702,442.5,453.5,171.5055739,0.7356685701,2.406727519,492.5,503.5,139.0268123,85.7123,635.1823
343,354,322.8410008,0.3326429721,0.8094577426,393,404,247.5247525,0.5025327705,0.6250998272,443,454,195.7905042,0.7359246481,2.41300739,493,504,158.7301587,82.0256,616.681
343.5,354.5,362.6838606,0.3328437558,0.8101480264,393.5,404.5,278.1211372,0.503751604,0.6252935842,443.5,454.5,220.0220022,0.7361807261,2.419287261,493.5,504.5,178.39445,77.945,594.2302
