(2)comp,(2)10-5,(2)5-5,(3comp,(3)10-5,(3)5-5,(3)10-10,(4)comp,(4)10-10,(4)10-5
400,6.63,0.923,450,8.369,0.678,99.448,550,0.236,0.014
400.5,5.3969,0.9242,450.5,6.6254,0.5012,88.8169,550.5,0.2475,0.0417
401,4.0593,0.8493,451,4.978,0.4311,75.5413,551,0.2684,0.0378
401.5,3.0935,0.8041,451.5,3.7315,0.3886,63.9201,551.5,0.2727,0.0358
402,2.286,0.7697,452,2.6579,0.3557,54.1225,552,0.276,0.0339
402.5,1.2956,0.7178,452.5,1.3513,0.3289,45.7971,552.5,0.2766,0.0303
403,0.8793,0.7241,453,0.789,0.3295,38.5869,553,0.2779,0.0239
403.5,0.7429,0.7578,453.5,0.5334,0.3247,32.0769,553.5,0.2765,0.0253
404,0.6988,0.7876,454,0.4073,0.3065,25.7219,554,0.2755,0.0293
404.5,0.6726,0.7869,454.5,0.3803,0.2922,18.8305,554.5,0.2748,0.0304
405,0.6712,0.787,455,0.358,0.2848,10.2384,555,0.2771,0.0268
405.5,0.659,0.7863,455.5,0.3708,0.2808,6.8766,555.5,0.2723,0.027
406,0.6575,0.774,456,0.3717,0.2697,4.8113,556,0.2707,0.0263
406.5,0.6649,0.7493,456.5,0.3699,0.2556,3.3174,556.5,0.2643,0.0256
407,0.6643,0.6943,457,0.3569,0.2521,2.3846,557,0.261,0.0167
407.5,0.6585,0.6709,457.5,0.3452,0.2556,1.6598,557.5,0.2585,0.0156
408,0.6543,0.6624,458,0.3349,0.2122,1.3085,558,0.2531,0.0142
408.5,0.6535,0.6675,458.5,0.3216,0.1839,1.0802,558.5,0.2532,0.0147
409,0.6512,0.6261,459,0.3096,0.171,1.0149,559,0.2507,0.0165
409.5,0.6492,0.5994,459.5,0.2909,0.1789,1.0487,559.5,0.2505,0.0113
410,0.6569,0.6548,460,0.2794,0.1977,1.0964,560,0.2508,0.0117
410.5,0.6542,0.661,460.5,0.2692,0.2006,1.1592,560.5,0.2469,0.0158
411,0.653,0.6523,461,0.2574,0.1969,1.1974,561,0.2472,0.0173
411.5,0.6461,0.6386,461.5,0.2479,0.19,1.2406,561.5,0.2475,0.0234
412,0.6373,0.6051,462,0.2426,0.1764,1.2746,562,0.2446,0.025
412.5,0.6279,0.5657,462.5,0.2437,0.17,1.2917,562.5,0.2409,0.0299
413,0.624,0.5394,463,0.2446,0.1525,1.2983,563,0.2398,0.0288
413.5,0.6269,0.5449,463.5,0.2457,0.1414,1.2943,563.5,0.2385,0.0258
414,0.633,0.5128,464,0.2468,0.1331,1.2818,564,0.2389,0.0216
414.5,0.6274,0.4951,464.5,0.2432,0.1291,1.2615,564.5,0.2407,0.0134
415,0.6366,0.5424,465,0.2388,0.1244,1.2527,565,0.2363,0.0126
415.5,0.6337,0.5454,465.5,0.2386,0.1112,1.2434,565.5,0.2321,0.0117
416,0.6322,0.5688,466,0.2359,0.093,1.232,566,0.2304,0.013
416.5,0.6287,0.59,466.5,0.233,0.0857,1.2142,566.5,0.2311,0.019
417,0.6258,0.5873,467,0.2347,0.0731,1.2002,567,0.2336,0.0221
417.5,0.6298,0.5733,467.5,0.2349,0.0663,1.1815,567.5,0.235,0.024
418,0.6292,0.5647,468,0.235,0.0703,1.1685,568,0.2372,0.0221
418.5,0.6308,0.576,468.5,0.2351,0.0738,1.1576,568.5,0.2382,0.0191
419,0.6328,0.5417,469,0.2356,0.0748,1.1463,569,0.2365,0.0197
419.5,0.6117,0.4992,469.5,0.2358,0.0866,1.1369,569.5,0.2349,0.0216
420,0.6032,0.5348,470,0.2368,0.099,1.1266,570,0.2324,0.0296
420.5,0.5792,0.5491,470.5,0.2379,0.1293,1.1194,570.5,0.2306,0.0327
421,0.563,0.5835,471,0.2379,0.1467,1.1153,571,0.231,0.0354
421.5,0.5622,0.5899,471.5,0.2385,0.1631,1.108,571.5,0.228,0.0355
422,0.5609,0.6034,472,0.2391,0.1683,1.0951,572,0.2276,0.0365
422.5,0.5731,0.6256,472.5,0.2385,0.194,1.081,572.5,0.2239,0.0341
423,0.5775,0.6788,473,0.2384,0.1993,1.0656,573,0.2199,0.0327
423.5,0.5954,0.7396,473.5,0.2392,0.1962,1.0519,573.5,0.2163,0.032
424,0.6076,0.7446,474,0.239,0.202,1.038,574,0.214,0.0325
424.5,0.6077,0.7195,474.5,0.2389,0.2054,1.0294,574.5,0.2133,0.0328
425,0.5969,0.739,475,0.2385,0.1777,1.0247,575,0.2117,0.0342
425.5,0.5906,0.7706,475.5,0.2377,0.162,1.0244,575.5,0.2098,0.0288
426,0.5897,0.7524,476,0.2361,0.1408,1.0185,576,0.2117,0.0241
426.5,0.5982,0.7114,476.5,0.2362,0.1312,1.0087,576.5,0.2172,0.0177
427,0.5947,0.6976,477,0.2353,0.1189,1.0062,577,0.2227,0.0197
427.5,0.5962,0.6704,477.5,0.2345,0.107,0.9913,577.5,0.2252,0.019
428,0.5939,0.6488,478,0.2355,0.0844,0.9856,578,0.2249,0.0204
428.5,0.5946,0.6164,478.5,0.2374,0.0823,0.982,578.5,0.2267,0.0195
429,0.5877,0.5578,479,0.2379,0.0938,0.9795,579,0.2319,0.0199
429.5,0.5919,0.481,479.5,0.2397,0.0987,0.975,579.5,0.2382,0.02
430,0.5818,0.5013,480,0.2406,0.0925,0.9707,580,0.2456,0.0204
430.5,0.5904,0.5221,480.5,0.2395,0.0804,0.9641,580.5,0.2496,0.0217
431,0.5914,0.5192,481,0.2387,0.0923,0.9551,581,0.2548,0.0232
431.5,0.5965,0.5286,481.5,0.2362,0.0969,0.9457,581.5,0.2596,0.0274
432,0.5927,0.5315,482,0.2354,0.1009,0.9338,582,0.2626,0.0342
432.5,0.598,0.5262,482.5,0.2317,0.0897,0.9265,582.5,0.2614,0.032
433,0.5966,0.5186,483,0.2308,0.1009,0.9189,583,0.2695,0.0318
433.5,0.592,0.5191,483.5,0.2267,0.1018,0.9155,583.5,0.2799,0.0307
