(1)comp,(1)10-5,(1)5-5
350,9.079,0.973
350.5,8.2629,0.7186
351,6.4951,0.7309
351.5,5.0486,0.8107
352,3.7969,0.8494
352.5,2.3142,0.8843
353,1.3634,0.9142
353.5,0.88,0.8787
354,0.7084,0.8039
354.5,0.6439,0.6955
355,0.6161,0.6256
355.5,0.6396,0.5741
356,0.6617,0.588
356.5,0.6793,0.6046
357,0.6888,0.5891
357.5,0.6907,0.5879
358,0.6897,0.5949
358.5,0.6886,0.6034
359,0.6732,0.6054
359.5,0.6559,0.6143
360,0.6501,0.6115
360.5,0.6427,0.6031
361,0.6405,0.5918
361.5,0.6399,0.5758
362,0.6495,0.6092
362.5,0.661,0.5695
363,0.6764,0.5504
363.5,0.6948,0.493
364,0.6825,0.453
364.5,0.6697,0.3875
365,0.6691,0.3645
365.5,0.6552,0.3687
366,0.641,0.3992
366.5,0.6324,0.4568
367,0.6474,0.5401
367.5,0.6453,0.5437
368,0.6484,0.5938
368.5,0.6484,0.594
369,0.6418,0.6025
369.5,0.6425,0.5691
370,0.6552,0.5851
370.5,0.6625,0.5926
371,0.6719,0.5969
371.5,0.6877,0.6072
372,0.7045,0.6128
372.5,0.7052,0.6133
373,0.7079,0.5975
373.5,0.7057,0.5837
374,0.719,0.6274
374.5,0.7262,0.6527
375,0.7258,0.667
375.5,0.7258,0.6507
376,0.743,0.6529
376.5,0.7789,0.7138
377,0.8398,0.8029
377.5,0.9431,0.9092
378,1.0136,1.0158
378.5,1.0914,1.1117
379,1.1853,1.243
379.5,1.2542,1.4247
380,1.3,1.4577
380.5,1.3295,1.555
381,1.3487,1.5647
381.5,1.3979,1.6403
382,1.4436,1.7808
382.5,1.4821,1.8782
383,1.4981,2.0019
383.5,1.5549,2.0805
384,1.6116,2.2012
384.5,1.6819,2.3838
385,1.7323,2.4577
385.5,1.7663,2.5789
386,1.7898,2.5477
386.5,1.8187,2.5466
387,1.8099,2.5568
387.5,1.7996,2.5082
388,1.8106,2.4677
388.5,1.816,2.4495
389,1.7818,2.3678
389.5,1.7567,2.2309
390,1.712,2.0756
390.5,1.683,1.8823
391,1.6455,1.6902
391.5,1.604,1.4966
392,1.5519,1.3653
392.5,1.5084,1.3131
393,1.4713,1.3181
393.5,1.4313,1.3292
394,1.363,1.2918
394.5,1.2939,1.1848
395,1.2349,1.1123
395.5,1.1918,1.0063
396,1.1628,0.9384
396.5,1.1218,0.8974
397,1.0866,0.8865
397.5,1.0598,0.8981
398,1.029,0.8779
398.5,0.994,0.8573
399,0.951,0.8219
399.5,0.9055,0.7094
400,0.8,0.692
