(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10
439,450,0,424.8583,970.8944
439.5,450.5,24.66395363,432.7072,987.6123
440,451,49.27322,437.4782,998.0435
440.5,451.5,73.8279808,439.1484,999.999
441,452,98.32841691,437.3284,998.1277
441.5,452.5,122.7747084,432.4969,990.1639
442,453,147.1670346,424.7513,974.091
442.5,453.5,171.5055739,414.9703,954.0306
443,454,195.7905042,402.3377,926.8998
443.5,454.5,220.0220022,387.345,894.1238
444,455,244.2002442,370.405,857.273
444.5,455.5,268.3254055,352.4407,818.6185
445,456,292.3976608,332.7172,775.6739
445.5,456.5,316.4171839,311.3426,728.1864
446,457,340.3841478,289.145,677.886
446.5,457.5,364.298725,266.5271,626.0726
447,458,388.1610869,244.2521,573.5625
447.5,458.5,411.9714043,222.5035,523.7187
448,459,435.7298475,201.0541,473.4881
448.5,459.5,459.4365857,180.0572,425.175
449,460,483.0917874,159.5416,377.4549
449.5,460.5,506.6956207,139.8635,331.0941
450,461,530.2482526,121.4454,287.9897
450.5,461.5,553.7498495,104.5413,248.8902
451,462,577.2005772,89.2583,213.6101
451.5,462.5,600.6006006,75.7124,182.5123
452,463,623.950084,63.0192,151.3481
452.5,463.5,647.2491909,51.3324,124.2144
453,464,670.4980843,41.6915,100.4594
453.5,464.5,693.6969262,33.7479,81.051
454,465,716.8458781,27.2641,65.6529
454.5,465.5,739.9451008,22.2346,53.2442
455,466,762.9947544,16.9889,40.4818
455.5,466.5,785.9949982,12.4718,29.668
456,467,808.945991,9.1658,21.7931
456.5,467.5,831.8478907,6.9072,16.2618
457,468,854.7008547,5.4411,12.6196
457.5,468.5,877.5050397,4.2954,9.8002
458,469,900.2606018,2.9864,6.6318
458.5,469.5,922.9676961,2.1296,4.5986
459,470,945.6264775,1.5184,3.0968
459.5,470.5,968.2371,1.0974,2.1853
460,471,990.7997169,0.9688,1.823
460.5,471.5,1013.314481,0.9017,1.666
461,472,1035.781544,0.9274,1.7721
461.5,472.5,1058.201058,0.8825,1.7157
462,473,1080.573174,0.8546,1.6735
462.5,473.5,1102.898041,0.8822,1.7198
463,474,1125.175809,0.9175,1.8499
463.5,474.5,1147.406627,0.947,1.9445
464,475,1169.590643,0.9773,2.0045
464.5,475.5,1191.728006,0.9894,2.0183
465,476,1213.818861,0.981,1.9956
465.5,476.5,1235.863355,0.9843,1.9708
466,477,1257.861635,0.9787,1.9318
466.5,477.5,1279.813845,0.9697,1.9038
467,478,1301.72013,0.9543,1.886
467.5,478.5,1323.580634,0.9428,1.8696
468,479,1345.3955,0.9341,1.8522
468.5,479.5,1367.164871,0.9248,1.8219
469,480,1388.888889,0.9159,1.7956
469.5,480.5,1410.567696,0.901,1.7955
470,481,1432.201432,0.894,1.7786
470.5,481.5,1453.790239,0.887,1.761
471,482,1475.334255,0.8769,1.7513
471.5,482.5,1496.833621,0.8667,1.7407
472,483,1518.288475,0.8671,1.7309
472.5,483.5,1539.698954,0.8689,1.7283
