comp (1),comp_corrected (1),raman_shift (1),int (ex 350  5-5),int(ex 350 10-10),comp (2),comp_corrected (2),raman_shift (2),int (ex 400  5-5),int(ex 400 10-10)
300,311,-3582.912265,0.266,1.019,350,361,-2700.831025,0.083,0.845
300.5,311.5,-3531.300161,0.2544,0.9574,350.5,361.5,-2662.517289,0.1274,0.8718
301,312,-3479.85348,0.2399,0.9427,351,362,-2624.309392,0.1375,0.8749
301.5,312.5,-3428.571429,0.2353,0.943,351.5,362.5,-2586.206897,0.1314,0.8788
302,313,-3377.453218,0.2363,0.9407,352,363,-2548.209366,0.1381,0.8789
302.5,313.5,-3326.498063,0.2369,0.9293,352.5,363.5,-2510.316369,0.1482,0.8797
303,314,-3275.705187,0.246,0.9309,353,364,-2472.527473,0.1609,0.8829
303.5,314.5,-3225.073813,0.2482,0.9273,353.5,364.5,-2434.84225,0.1747,0.8884
304,315,-3174.603175,0.2531,0.9237,354,365,-2397.260274,0.1875,0.8928
304.5,315.5,-3124.292506,0.2485,0.9206,354.5,365.5,-2359.781122,0.2023,0.8953
305,316,-3074.141049,0.2481,0.9131,355,366,-2322.404372,0.1889,0.9019
305.5,316.5,-3024.148048,0.2347,0.9102,355.5,366.5,-2285.129604,0.1772,0.9069
306,317,-2974.312753,0.2276,0.9108,356,367,-2247.956403,0.1586,0.9178
306.5,317.5,-2924.634421,0.2258,0.9078,356.5,367.5,-2210.884354,0.154,0.9245
307,318,-2875.112309,0.2335,0.9149,357,368,-2173.913043,0.144,0.9315
307.5,318.5,-2825.745683,0.2437,0.917,357.5,368.5,-2137.042062,0.1536,0.94
308,319,-2776.533811,0.2556,0.9222,358,369,-2100.271003,0.1565,0.9458
308.5,319.5,-2727.475967,0.2585,0.9316,358.5,369.5,-2063.599459,0.1601,0.9525
309,320,-2678.571429,0.2611,0.9412,359,370,-2027.027027,0.1651,0.9588
309.5,320.5,-2629.819478,0.2611,0.9485,359.5,370.5,-1990.553306,0.1661,0.9667
310,321,-2581.219404,0.2539,0.9488,360,371,-1954.177898,0.1632,0.9763
310.5,321.5,-2532.770495,0.2502,0.955,360.5,371.5,-1917.900404,0.1809,0.9769
311,322,-2484.47205,0.2472,0.9637,361,372,-1881.72043,0.18,0.9802
311.5,322.5,-2436.323367,0.2504,0.9778,361.5,372.5,-1845.637584,0.1862,0.9918
312,323,-2388.323751,0.2587,0.9909,362,373,-1809.651475,0.1756,1.0105
312.5,323.5,-2340.47251,0.2669,0.9921,362.5,373.5,-1773.761714,0.1679,1.0244
313,324,-2292.768959,0.2705,0.9933,363,374,-1737.967914,0.1606,1.0406
313.5,324.5,-2245.212415,0.2766,0.9906,363.5,374.5,-1702.269693,0.1583,1.056
314,325,-2197.802198,0.2815,0.9876,364,375,-1666.666667,0.1596,1.0731
314.5,325.5,-2150.537634,0.2847,0.9832,364.5,375.5,-1631.158455,0.1575,1.0904
315,326,-2103.418054,0.2791,0.9763,365,376,-1595.744681,0.1697,1.0941
315.5,326.5,-2056.442792,0.2762,0.9677,365.5,376.5,-1560.424967,0.1821,1.1007
316,327,-2009.611184,0.2768,0.9651,366,377,-1525.198939,0.1874,1.0982
316.5,327.5,-1962.922574,0.2667,0.9603,366.5,377.5,-1490.066225,0.195,1.0953
317,328,-1916.376307,0.2655,0.9571,367,378,-1455.026455,0.2043,1.0892
317.5,328.5,-1869.971733,0.2686,0.9417,367.5,378.5,-1420.07926,0.2136,1.0679
318,329,-1823.708207,0.2671,0.9258,368,379,-1385.224274,0.2163,1.0392
318.5,329.5,-1777.585086,0.2687,0.9122,368.5,379.5,-1350.461133,0.2226,1.0265
319,330,-1731.601732,0.2669,0.9087,369,380,-1315.789474,0.2341,1.0369
319.5,330.5,-1685.75751,0.2623,0.9206,369.5,380.5,-1281.208936,0.2178,1.0515
320,331,-1640.051791,0.2495,0.9387,370,381,-1246.71916,0.2147,1.1136
320.5,331.5,-1594.483947,0.249,0.9833,370.5,381.5,-1212.31979,0.2123,1.2171
321,332,-1549.053356,0.2514,1.0659,371,382,-1178.010471,0.1962,1.489
321.5,332.5,-1503.759398,0.2527,1.2645,371.5,382.5,-1143.79085,0.1852,1.9508
322,333,-1458.601459,0.2663,1.5457,372,383,-1109.660574,0.1735,2.5706
322.5,333.5,-1413.578925,0.2757,2.0011,372.5,383.5,-1075.619296,0.1695,3.5493
323,334,-1368.691189,0.2856,2.64,373,384,-1041.666667,0.1632,4.8203
323.5,334.5,-1323.937647,0.2891,3.5392,373.5,384.5,-1007.802341,0.175,6.6205
324,335,-1279.317697,0.2902,4.78,374,385,-974.025974,0.1788,8.8521
324.5,335.5,-1234.830743,0.2839,6.3121,374.5,385.5,-940.3372244,0.1777,11.8274
