comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
339,350,0,97.2373,689.7720,389,400,0,160.6376,573.0379,439,450,0,232.6589,999.999,489,500,0,95.0055,638.6647
339.5,350.5,40.75810067,98.6829,711.2977,389.5,400.5,31.21098627,155.4388,554.3844,439.5,450.5,24.66395363,236.7248,999.999,489.5,500.5,19.98001998,95.6414,652.191
340,351,81.4000814,97.9502,706.2628,390,401,62.34413965,146.7455,523.5177,440,451,49.27322,239.439,999.999,490,501,39.92015968,95.6439,661.3013
340.5,351.5,121.9264377,93.5444,674.4640,390.5,401.5,93.39975093,135.1259,481.4519,440.5,451.5,73.8279808,240.3277,999.999,490.5,501.5,59.82053838,94.9309,665.5814
341,352,162.3376623,86.4997,631.3511,391,402,124.3781095,120.9791,431.4435,441,452,98.32841691,239.2257,999.999,491,502,79.6812749,93.5399,664.9199
341.5,352.5,202.6342452,78.2989,574.4030,391.5,402.5,155.2795031,106.0748,378.0076,441.5,452.5,122.7747084,237.2118,999.999,491.5,502.5,99.50248756,91.5053,659.6066
342,353,242.8166734,69.0635,506.5109,392,403,186.1042184,89.4345,319.8579,442,453,147.1670346,233.4635,999.999,492,503,119.2842942,88.8758,649.6213
342.5,353.5,282.8854314,59.4638,434.2555,392.5,403.5,216.8525403,73.8336,263.2648,442.5,453.5,171.5055739,227.9796,999.999,492.5,503.5,139.0268123,85.7123,635.1823
343,354,322.8410008,49.5161,361.3460,393,404,247.5247525,59.282,209.7834,443,454,195.7905042,221.1162,999.999,493,504,158.7301587,82.0256,616.681
343.5,354.5,362.6838606,40.3015,294.7466,393.5,404.5,278.1211372,45.7887,164.3879,443.5,454.5,220.0220022,212.9514,999.999,493.5,504.5,178.39445,77.945,594.2302
