(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5,(2)comp,(2)comp_ajuste,(2)raman,v_400_5-5,p_400_5-5,(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10,(4)comp,(4)comp_ajuste,(4)raman,v_500_10-10,p_500_10-10
250,261,-9742.747674,0.491,0.844,300,311,-7154.340836,0.466,0.239,350,361,-5478.608803,0.783,1.041,450,461,-1691.97397,0.462,1.077
250.5,261.5,-9669.489211,0.4981,0.5587,300.5,311.5,-7102.728732,0.2691,0.2069,350.5,361.5,-5440.295067,0.7739,1.0651,450.5,461.5,-1668.472373,0.473,1.0603
251,262,-9596.51036,0.4628,0.496,301,312,-7051.282051,0.2243,0.2196,351,362,-5402.08717,0.7955,1.0703,451,462,-1645.021645,0.4769,1.0591
251.5,262.5,-9523.809524,0.4111,0.4337,301.5,312.5,-7000,0.2075,0.2536,351.5,362.5,-5363.984674,0.7799,1.0661,451.5,462.5,-1621.621622,0.4766,1.0622
252,263,-9451.385117,0.3702,0.3966,302,313,-6948.881789,0.2068,0.2639,352,363,-5325.987144,0.7825,1.0727,452,463,-1598.272138,0.4777,1.0672
252.5,263.5,-9379.235565,0.3194,0.3443,302.5,313.5,-6897.926635,0.2001,0.2786,352.5,363.5,-5288.094146,0.7882,1.0705,452.5,463.5,-1574.973031,0.4811,1.0711
253,264,-9307.359307,0.2764,0.3464,303,314,-6847.133758,0.244,0.2863,353,364,-5250.30525,0.8002,1.0677,453,464,-1551.724138,0.4832,1.0739
253.5,264.5,-9235.754793,0.2402,0.3511,303.5,314.5,-6796.502385,0.2581,0.2735,353.5,364.5,-5212.620027,0.81,1.0658,453.5,464.5,-1528.525296,0.4861,1.0776
254,265,-9164.420485,0.2306,0.384,304,315,-6746.031746,0.2655,0.2625,354,365,-5175.038052,0.8186,1.0649,454,465,-1505.376344,0.4897,1.0813
254.5,265.5,-9093.354856,0.2198,0.3718,304.5,315.5,-6695.721078,0.2703,0.2462,354.5,365.5,-5137.5589,0.8294,1.064,454.5,465.5,-1482.277121,0.494,1.0851
255,266,-9022.556391,0.2218,0.3817,305,316,-6645.56962,0.2582,0.226,355,366,-5100.182149,0.8401,1.0631,455,466,-1459.227468,0.4953,1.087
255.5,266.5,-8952.023586,0.2613,0.3939,305.5,316.5,-6595.576619,0.2316,0.2417,355.5,366.5,-5062.907382,0.8508,1.0616,455.5,466.5,-1436.227224,0.4968,1.0944
