(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5,(2)comp,(2)comp_ajuste,(2)raman,v_400_5-5,p_400_5-5,(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10,(4)comp,(4)comp_ajuste,(4)raman,v_500_10-10,p_500_10-10
339,350,0,168.8603,497.8102,389,400,0,282.46,606.8768,439,450,0,424.8583,970.8944,489,500,0,220.7909,661.1235
339.5,350.5,40.75810067,172.5914,502.386,389.5,400.5,31.21098627,275.0251,592.08,439.5,450.5,24.66395363,432.7072,987.6123,489.5,500.5,19.98001998,222.0448,661.6854
340,351,81.4000814,171.3256,493.1243,390,401,62.34413965,262.287,569.5379,440,451,49.27322,437.4782,998.0435,490,501,39.92015968,221.7596,657.4815
340.5,351.5,121.9264377,163.6001,467.0891,390.5,401.5,93.39975093,244.4816,530.8038,440.5,451.5,73.8279808,439.1484,999.999,490.5,501.5,59.82053838,219.9478,648.3794
341,352,162.3376623,151.6106,429.1693,391,402,124.3781095,220.5684,472.4914,441,452,98.32841691,437.3284,998.1277,491,502,79.6812749,216.594,634.7421
341.5,352.5,202.6342452,137.6411,386.9012,391.5,402.5,155.2795031,191.1298,404.4157,441.5,452.5,122.7747084,432.4969,990.1639,491.5,502.5,99.50248756,211.7384,616.8723
342,353,242.8166734,121.4769,338.8381,392,403,186.1042184,160.0121,333.6658,442,453,147.1670346,424.7513,974.091,492,503,119.2842942,205.5042,595.0562
342.5,353.5,282.8854314,104.8108,288.4448,392.5,403.5,216.8525403,130.86,268.0328,442.5,453.5,171.5055739,414.9703,954.0306,492.5,503.5,139.0268123,198.0188,569.8509
343,354,322.8410008,88.3678,241.3092,393,404,247.5247525,104.415,210.5014,443,454,195.7905042,402.3377,926.8998,493,504,158.7301587,189.3757,541.7122
343.5,354.5,362.6838606,73.0519,197.3469,393.5,404.5,278.1211372,82.5414,165.4502,443.5,454.5,220.0220022,387.345,894.1238,493.5,504.5,178.39445,179.7676,511.1296
344,355,402.4144869,59.2257,158.7333,394,405,308.6419753,62.9077,127.0016,444,455,244.2002442,370.405,857.273,494,505,198.019802,169.3891,478.512
344.5,355.5,442.0333534,48.0433,127.0481,394.5,405.5,339.0875462,45.837,97.5248,444.5,455.5,268.3254055,352.4407,818.6185,494.5,505.5,217.6063304,158.4082,444.6127
345,356,481.540931,36.8365,96.2479,395,406,369.4581281,33.401,80.3466,445,456,292.3976608,332.7172,775.6739,495,506,237.1541502,146.9936,409.711
345.5,356.5,520.9376878,26.2754,68.1367,395.5,406.5,399.7539975,24.8032,60.6589,445.5,456.5,316.4171839,311.3426,728.1864,495.5,506.5,256.6633761,135.2864,374.5831
346,357,560.2240896,18.1927,45.9056,396,407,429.97543,17.3266,39.2565,446,457,340.3841478,289.145,677.886,496,507,276.1341223,123.4894,339.5218
346.5,357.5,599.4005994,12.1495,30.1865,396.5,407.5,460.1226994,10.0904,22.848,446.5,457.5,364.298725,266.5271,626.0726,496.5,507.5,295.5665025,111.8136,305.1705
347,358,638.4676776,7.3378,18.5772,397,408,490.1960784,5.0286,11.8023,447,458,388.1610869,244.2521,573.5625,497,508,314.9606299,100.3537,271.989
347.5,358.5,677.425782,3.8156,10.5349,397.5,408.5,520.1958384,2.6869,6.5705,447.5,458.5,411.9714043,222.5035,523.7187,497.5,508.5,334.3166175,89.2555,240.2814
348,359,716.2753681,1.847,5.4168,398,409,550.1222494,1.3866,3.207,448,459,435.7298475,201.0541,473.4881,498,509,353.6345776,78.598,210.2139
348.5,359.5,755.0168885,0.9752,2.8251,398.5,409.5,579.97558,1.1639,2.6747,448.5,459.5,459.4365857,180.0572,425.175,498.5,509.5,372.9146222,68.5546,182.2185
349,360,793.6507937,0.5184,1.591,399,410,609.7560976,0.8851,1.6033,449,460,483.0917874,159.5416,377.4549,499,510,392.1568627,59.1748,156.1436
349.5,360.5,832.1775312,0.314,1.3195,399.5,410.5,639.4640682,0.6528,1.1808,449.5,460.5,506.6956207,139.8635,331.0941,499.5,510.5,411.3614104,50.587,132.6
350,361,870.5975465,0.3694,1.2549,400,411,669.0997567,0.5771,0.8873,450,461,530.2482526,121.4454,287.9897,500,511,430.5283757,42.7846,111.347
350.5,361.5,908.9112824,0.3404,1.418,400.5,411.5,698.6634265,0.6368,1.0084,450.5,461.5,553.7498495,104.5413,248.8902,500.5,511.5,449.657869,35.7454,92.2741
351,362,947.1191792,0.3031,1.4548,401,412,728.1553398,0.6649,1.1899,451,462,577.2005772,89.2583,213.6101,501,512,468.75,29.4634,75.5327
351.5,362.5,985.2216749,0.333,1.4411,401.5,412.5,757.5757576,0.6878,1.2705,451.5,462.5,600.6006006,75.7124,182.5123,501.5,512.5,487.804878,23.9413,60.9787
352,363,1023.219205,0.3339,1.5199,402,413,786.9249395,0.7351,1.3163,452,463,623.950084,63.0192,151.3481,502,513,506.8226121,19.1849,48.531
352.5,363.5,1061.112203,0.3706,1.5102,402.5,413.5,816.2031439,0.6996,1.2576,452.5,463.5,647.2491909,51.3324,124.2144,502.5,513.5,525.8033106,15.137,38.0893
353,364,1098.901099,0.3439,1.545,403,414,845.410628,0.7161,1.1998,453,464,670.4980843,41.6915,100.4594,503,514,544.7470817,11.7129,29.3255
353.5,364.5,1136.586322,0.3537,1.5448,403.5,414.5,874.5476478,0.6919,1.1872,453.5,464.5,693.6969262,33.7479,81.051,503.5,514.5,563.654033,8.8951,22.0883
354,365,1174.168297,0.3462,1.5256,404,415,903.6144578,0.6395,1.1407,454,465,716.8458781,27.2641,65.6529,504,515,582.5242718,6.617,16.3071
354.5,365.5,1211.64745,0.3283,1.4557,404.5,415.5,932.6113117,0.5154,1.0857,454.5,465.5,739.9451008,22.2346,53.2442,504.5,515.5,601.3579049,4.8295,11.7922
355,366,1249.0242,0.3032,1.3906,405,416,961.5384615,0.3928,1.0699,455,466,762.9947544,16.9889,40.4818,505,516,620.1550388,3.4368,8.2572
355.5,366.5,1286.298967,0.2844,1.4267,405.5,416.5,990.3961585,0.2915,1.0865,455.5,466.5,785.9949982,12.4718,29.668,505.5,516.5,638.9157793,2.397,5.6509
356,367,1323.472168,0.3019,1.3976,406,417,1019.184652,0.2477,1.1362,456,467,808.945991,9.1658,21.7931,506,517,657.6402321,1.6347,3.753
356.5,367.5,1360.544218,0.3015,1.3797,406.5,417.5,1047.904192,0.2769,1.1286,456.5,467.5,831.8478907,6.9072,16.2618,506.5,517.5,676.3285024,1.1006,2.4686
357,368,1397.515528,0.3011,1.3766,407,418,1076.555024,0.3347,1.1298,457,468,854.7008547,5.4411,12.6196,507,518,694.980695,0.7507,1.6384
357.5,368.5,1434.386509,0.3024,1.3707,407.5,418.5,1105.137395,0.3294,1.0953,457.5,468.5,877.5050397,4.2954,9.8002,507.5,518.5,713.5969142,0.5249,1.1117
358,369,1471.157569,0.3024,1.4025,408,419,1133.651551,0.3754,1.0751,458,469,900.2606018,2.9864,6.6318,508,519,732.177264,0.3914,0.8144
358.5,369.5,1507.829113,0.3031,1.3433,408.5,419.5,1162.097735,0.3505,1.0913,458.5,469.5,922.9676961,2.1296,4.5986,508.5,519.5,750.7218479,0.3384,0.6974
359,370,1544.401544,0.3029,1.315,409,420,1190.47619,0.3389,1.089,459,470,945.6264775,1.5184,3.0968,509,520,769.2307692,0.346,0.6977
359.5,370.5,1580.875265,0.303,1.261,409.5,420.5,1218.787158,0.3042,1.0565,459.5,470.5,968.2371,1.0974,2.1853,509.5,520.5,787.7041306,0.3725,0.7667
360,371,1617.250674,0.3036,1.2449,410,421,1247.030879,0.341,1.074,460,471,990.7997169,0.9688,1.823,510,521,806.1420345,0.4015,0.8421
360.5,371.5,1653.528168,0.3038,1.2649,410.5,421.5,1275.207592,0.3513,1.0771,460.5,471.5,1013.314481,0.9017,1.666,510.5,521.5,824.5445829,0.431,0.914
361,372,1689.708141,0.3038,1.2054,411,422,1303.317536,0.3866,1.1053,461,472,1035.781544,0.9274,1.7721,511,522,842.9118774,0.4535,0.9718
361.5,372.5,1725.790988,0.304,1.1855,411.5,422.5,1331.360947,0.4242,1.056,461.5,472.5,1058.201058,0.8825,1.7157,511.5,522.5,861.2440191,0.4672,1.0178
362,373,1761.777097,0.3043,1.1713,412,423,1359.338061,0.3923,1.0428,462,473,1080.573174,0.8546,1.6735,512,523,879.541109,0.4777,1.0439
