comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
339,350,0,999.999,389,400,0,999.999,439,450,0,999.999,489,500,0,2.989
339.5,350.5,40.75810067,999.999,389.5,400.5,31.21098627,999.999,439.5,450.5,24.66395363,999.999,489.5,500.5,19.98001998,2.9698
340,351,81.4000814,999.999,390,401,62.34413965,981.5525,440,451,49.27322,999.999,490,501,39.92015968,2.9531
340.5,351.5,121.9264377,983.7282,390.5,401.5,93.39975093,920.1186,440.5,451.5,73.8279808,999.999,490.5,501.5,59.82053838,2.938
341,352,162.3376623,944.4404,391,402,124.3781095,828.3879,441,452,98.32841691,999.999,491,502,79.6812749,2.9199
341.5,352.5,202.6342452,879.713,391.5,402.5,155.2795031,711.4037,441.5,452.5,122.7747084,999.999,491.5,502.5,99.50248756,2.9026
342,353,242.8166734,784.6124,392,403,186.1042184,575.4509,442,453,147.1670346,999.999,492,503,119.2842942,2.8837
342.5,353.5,282.8854314,671.0163,392.5,403.5,216.8525403,442.3885,442.5,453.5,171.5055739,999.999,492.5,503.5,139.0268123,2.8666
343,354,322.8410008,549.4053,393,404,247.5247525,325.6892,443,454,195.7905042,999.999,493,504,158.7301587,2.8484
343.5,354.5,362.6838606,432.3752,393.5,404.5,278.1211372,239.9616,443.5,454.5,220.0220022,999.999,493.5,504.5,178.39445,2.8309
344,355,402.4144869,330.1246,394,405,308.6419753,173.4745,444,455,244.2002442,999.999,494,505,198.019802,2.8134
344.5,355.5,442.0333534,242.3051,394.5,405.5,339.0875462,123.1178,444.5,455.5,268.3254055,999.999,494.5,505.5,217.6063304,2.7959
345,356,481.540931,170.5207,395,406,369.4581281,86.7901,445,456,292.3976608,999.999,495,506,237.1541502,2.7851
345.5,356.5,520.9376878,116.9341,395.5,406.5,399.7539975,60.708,445.5,456.5,316.4171839,999.999,495.5,506.5,256.6633761,2.7729
346,357,560.2240896,81.6144,396,407,429.97543,40.5889,446,457,340.3841478,977.2372,496,507,276.1341223,2.7582
346.5,357.5,599.4005994,53.8573,396.5,407.5,460.1226994,24.5687,446.5,457.5,364.298725,941.0299,496.5,507.5,295.5665025,2.7461
347,358,638.4676776,29.9431,397,408,490.1960784,10.7563,447,458,388.1610869,896.4939,497,508,314.9606299,2.738
347.5,358.5,677.425782,15.6711,397.5,408.5,520.1958384,6.0876,447.5,458.5,411.9714043,843.7342,497.5,508.5,334.3166175,2.733
348,359,716.2753681,7.6875,398,409,550.1222494,4.0804,448,459,435.7298475,783.752,498,509,353.6345776,2.7225
348.5,359.5,755.0168885,4.1062,398.5,409.5,579.97558,3.3636,448.5,459.5,459.4365857,717.5027,498.5,509.5,372.9146222,2.7099
349,360,793.6507937,3.5831,399,410,609.7560976,3.1684,449,460,483.0917874,646.4323,499,510,392.1568627,2.6981
349.5,360.5,832.1775312,3.6811,399.5,410.5,639.4640682,3.0923,449.5,460.5,506.6956207,572.2896,499.5,510.5,411.3614104,2.6915
350,361,870.5975465,3.7659,400,411,669.0997567,3.0305,450,461,530.2482526,497.0186,500,511,430.5283757,2.6879
350.5,361.5,908.9112824,3.5395,400.5,411.5,698.6634265,2.9105,450.5,461.5,553.7498495,422.8439,500.5,511.5,449.657869,2.6806
351,362,947.1191792,3.484,401,412,728.1553398,2.7836,451,462,577.2005772,352.2806,501,512,468.75,2.6729
351.5,362.5,985.2216749,3.382,401.5,412.5,757.5757576,2.6875,451.5,462.5,600.6006006,287.9908,501.5,512.5,487.804878,2.6698
352,363,1023.219205,3.2,402,413,786.9249395,2.561,452,463,623.950084,232.7858,502,513,506.8226121,2.66
352.5,363.5,1061.112203,3.0865,402.5,413.5,816.2031439,2.4565,452.5,463.5,647.2491909,189.527,502.5,513.5,525.8033106,2.6512
