WL [nm],Int(Result.Sample 1)
300,2.96
300.5,3.0878
301,3.1954
301.5,3.3566
302,3.4109
302.5,3.4119
303,3.4133
303.5,3.3827
304,3.3471
304.5,3.3275
305,3.3553
305.5,3.2297
306,3.0715
306.5,2.8965
307,2.7047
307.5,2.4879
308,2.2989
308.5,2.101
309,1.8914
309.5,1.6838
310,1.463
310.5,1.2761
311,1.13
311.5,1.0006
312,0.9034
312.5,0.8072
313,0.7551
313.5,0.7279
314,0.723
314.5,0.7524
315,0.7715
315.5,0.8344
316,0.906
316.5,1.0031
317,1.0989
317.5,1.1932
318,1.3122
318.5,1.4255
319,1.5323
319.5,1.6499
320,1.7608
320.5,1.904
321,2.0465
321.5,2.1712
322,2.2665
322.5,2.3579
323,2.4483
323.5,2.4963
324,2.5287
324.5,2.5209
325,2.4787
325.5,2.4364
326,2.3715
326.5,2.2807
327,2.1728
327.5,2.0652
328,1.9615
328.5,1.8457
329,1.7101
329.5,1.5937
330,1.48
330.5,1.3874
331,1.2781
331.5,1.1785
332,1.0864
332.5,1.0194
333,0.9557
333.5,0.8898
334,0.8334
334.5,0.7848
335,0.7662
335.5,0.7596
336,0.7546
336.5,0.7464
337,0.7532
337.5,0.7701
338,0.7926
338.5,0.8052
339,0.7978
339.5,0.7556
340,0.662
340.5,0.5134
341,0.2521
341.5,0.0162
342,-0.1509
342.5,-0.1748
343,0.0503
343.5,0.6446
344,2.0375
344.5,4.1179
345,6.6957
345.5,10.1256
346,14.2603
346.5,19.2384
347,25.0581
347.5,31.6921
348,38.795
348.5,46.2976
349,54.4405
349.5,62.7498
350,71.7329
350.5,80.8918
351,89.885
351.5,98.3976
352,106.0165
352.5,112.9427
353,118.9702
353.5,123.9339
354,127.5631
354.5,129.5261
355,129.648
355.5,128.418
356,125.8916
356.5,122.1431
357,116.846
357.5,110.1246
358,102.255
358.5,93.9064
359,85.1698
359.5,75.9032
360,66.9412
360.5,57.9039
361,49.0241
361.5,40.4562
362,32.5069
362.5,25.5933
363,19.443
363.5,14.0627
364,9.4454
364.5,5.7905
365,2.9882
365.5,1.2276
366,0.3686
366.5,-0.0947
367,-0.3484
367.5,-0.2386
368,0.1928
368.5,0.6966
369,0.9074
369.5,0.9625
370,1.039
370.5,1.0906
371,1.0946
371.5,1.0959
372,1.0975
372.5,1.1062
373,1.1074
373.5,1.1175
374,1.1378
374.5,1.1575
375,1.1852
375.5,1.1955
376,1.2229
376.5,1.2562
377,1.2925
377.5,1.317
378,1.326
378.5,1.3115
379,1.2694
379.5,1.1869
380,0.9004
380.5,0.6608
381,0.5547
381.5,0.8248
382,1.1422
382.5,1.9302
383,3.1077
383.5,4.6813
384,6.8767
384.5,9.7969
385,13.5965
385.5,17.9231
386,22.6657
386.5,28.1305
387,34.3746
387.5,41.3522
388,48.7004
388.5,56.6921
389,65.3564
389.5,74.6171
390,83.718
390.5,93.0371
391,102.2761
391.5,110.9678
392,118.9131
392.5,125.655
393,131.2296
393.5,135.5522
394,138.6075
394.5,139.8283
395,139.1633
395.5,136.3644
396,132.4601
396.5,127.3587
397,120.7366
397.5,113.0297
398,104.6301
398.5,96.1184
399,87.392
399.5,78.5167
400,69.3389
400.5,60.6087
401,52.2718
401.5,44.3138
402,37.1407
402.5,30.3334
403,24.6408
403.5,19.7112
404,15.4564
404.5,11.7295
405,8.8182
405.5,6.7698
406,5.6726
406.5,4.634
407,3.8439
407.5,3.5672
408,3.6224
408.5,3.7019
409,3.7294
409.5,3.7372
410,3.576
410.5,3.3078
411,2.6726
411.5,1.9791
412,1.5931
412.5,1.3043
413,1.4927
413.5,1.7747
414,3.1169
414.5,6.1182
415,10.8191
415.5,17.3473
416,25.7102
416.5,35.3702
417,46.7348
417.5,60.336
418,75.9643
418.5,93.5424
419,112.2276
419.5,131.0834
420,151.6427
420.5,173.8679
421,196.211
421.5,219.833
422,243.3524
422.5,265.9168
423,286.1322
423.5,304.3376
424,319.7674
424.5,331.2758
425,339.3414
425.5,342.5353
426,342.0587
426.5,337.2349
427,328.0871
427.5,315.5313
428,299.4276
428.5,280.3994
429,259.0687
429.5,236.0493
430,213.1602
430.5,189.8998
431,166.3815
431.5,144.287
432,122.703
432.5,102.2797
433,82.9376
433.5,65.7824
434,49.7354
434.5,35.7475
435,24.6359
435.5,15.2791
436,8.8858
436.5,3.8765
437,0.0778
