(2)comp,(2)comp_ajuste,(2)comp_raman,(2)10-5,(2)5-5,(3comp,(3)comp_ajuste,(3)comp_raman,(3)10-5,(3)5-5,(3)10-10,(4)comp,(4)comp_ajuste,(4)comp_raman,(4)10-10,(4)10-5
400,411.3,686.846584,6.63,0.923,450,461.3,544.3553243,8.369,0.678,99.448,550,560,2142.857143,0.236,0.014
400.5,411.8,716.3671685,5.3969,0.9242,450.5,461.8,567.8263799,6.6254,0.5012,88.8169,550.5,560.5,2158.786798,0.2475,0.0417
401,412.3,745.8161533,4.0593,0.8493,451,462.3,591.2466652,4.978,0.4311,75.5413,551,561,2174.688057,0.2684,0.0378
401.5,412.8,775.1937984,3.0935,0.8041,451.5,462.8,614.616345,3.7315,0.3886,63.9201,551.5,561.5,2190.560997,0.2727,0.0358
402,413.3,804.5003629,2.286,0.7697,452,463.3,637.9355829,2.6579,0.3557,54.1225,552,562,2206.405694,0.276,0.0339
402.5,413.8,833.7361044,1.2956,0.7178,452.5,463.8,661.2045422,1.3513,0.3289,45.7971,552.5,562.5,2222.222222,0.2766,0.0303
403,414.3,862.9012793,0.8793,0.7241,453,464.3,684.4233853,0.789,0.3295,38.5869,553,563,2238.010657,0.2779,0.0239
403.5,414.8,891.9961427,0.7429,0.7578,453.5,464.8,707.5922739,0.5334,0.3247,32.0769,553.5,563.5,2253.771074,0.2765,0.0253
404,415.3,921.0209487,0.6988,0.7876,454,465.3,730.711369,0.4073,0.3065,25.7219,554,564,2269.503546,0.2755,0.0293
404.5,415.8,949.97595,0.6726,0.7869,454.5,465.8,753.7808311,0.3803,0.2922,18.8305,554.5,564.5,2285.208149,0.2748,0.0304
405,416.3,978.861398,0.6712,0.787,455,466.3,776.8008197,0.358,0.2848,10.2384,555,565,2300.884956,0.2771,0.0268
405.5,416.8,1007.677543,0.659,0.7863,455.5,466.8,799.7714939,0.3708,0.2808,6.8766,555.5,565.5,2316.534041,0.2723,0.027
406,417.3,1036.424635,0.6575,0.774,456,467.3,822.6930119,0.3717,0.2697,4.8113,556,566,2332.155477,0.2707,0.0263
406.5,417.8,1065.10292,0.6649,0.7493,456.5,467.8,845.5655313,0.3699,0.2556,3.3174,556.5,566.5,2347.749338,0.2643,0.0256
407,418.3,1093.712646,0.6643,0.6943,457,468.3,868.3892092,0.3569,0.2521,2.3846,557,567,2363.315697,0.261,0.0167
407.5,418.8,1122.254059,0.6585,0.6709,457.5,468.8,891.1642017,0.3452,0.2556,1.6598,557.5,567.5,2378.854626,0.2585,0.0156
408,419.3,1150.727403,0.6543,0.6624,458,469.3,913.8906646,0.3349,0.2122,1.3085,558,568,2394.366197,0.2531,0.0142
408.5,419.8,1179.13292,0.6535,0.6675,458.5,469.8,936.5687527,0.3216,0.1839,1.0802,558.5,568.5,2409.850484,0.2532,0.0147
409,420.3,1207.470854,0.6512,0.6261,459,470.3,959.1986203,0.3096,0.171,1.0149,559,569,2425.307557,0.2507,0.0165
409.5,420.8,1235.741445,0.6492,0.5994,459.5,470.8,981.780421,0.2909,0.1789,1.0487,559.5,569.5,2440.737489,0.2505,0.0113
