freq(MHz)_2/6,U2(V)_2/6,I1 (uA)_2/6,U1 (V)_2/6
20.5,0.54,51.87,2.90472
21,0.56,52.9,2.9624
21.5,0.56,53.5,2.996
22,0.54,54.1,3.0296
22.5,0.58,54.6,3.0576
23,0.62,55.1,3.0856
23.5,0.7,54.03,3.02568
24,0.72,55.9,3.1304
24.5,0.86,55.18,3.09008
25,1.06,53.69,3.00664
25.2,1.16,52.11,2.91816
25.4,1.32,48,2.688
25.6,1.44,44.44,2.48864
25.8,1.54,40.4,2.2624
26,1.58,31.9,1.7864
26.2,1.54,23.2,1.2992
26.5,1.42,21.8,1.2208
26.7,1.4,29.7,1.6632
27,1.22,42.41,2.37496
27.2,1.04,47.9,2.6824
27.4,0.88,52,2.912
27.6,0.76,54.5,3.052
27.8,0.7,55.6,3.1136
28,0.64,57.08,3.19648
28.5,0.46,59.24,3.31744
29,0.34,60.54,3.39024
29.5,0.28,61.5,3.444
30,0.24,62.33,3.49048
