time(ch1),voltage(ch1),time(ch2),voltage(ch2)
-0.0000125,-0.8296,-0.0000125,-14.608
-0.00001249,-0.7808,-0.00001249,-14.608
-0.00001248,-0.7808,-0.00001248,-14.608
-0.00001247,-0.8784,-0.00001247,-11.952
-0.00001246,-0.732,-0.00001246,-10.624
-0.00001245,-0.7808,-0.00001245,-13.28
-0.00001244,-0.732,-0.00001244,-14.608
-0.00001243,-0.6832,-0.00001243,-13.28
-0.00001242,-0.6832,-0.00001242,-10.624
-0.00001241,-0.732,-0.00001241,-10.624
-0.0000124,-0.732,-0.0000124,-11.952
-0.00001239,-0.6832,-0.00001239,-13.28
-0.00001238,-0.6832,-0.00001238,-11.952
-0.00001237,-0.6832,-0.00001237,-11.952
-0.00001236,-0.732,-0.00001236,-11.952
-0.00001235,-0.6832,-0.00001235,-13.28
-0.00001234,-0.6832,-0.00001234,-10.624
-0.00001233,-0.6832,-0.00001233,-10.624
-0.00001232,-0.732,-0.00001232,-11.952
-0.00001231,-0.6344,-0.00001231,-11.952
-0.0000123,-0.6832,-0.0000123,-9.296
-0.00001229,-0.6344,-0.00001229,-11.952
-0.00001228,-0.6832,-0.00001228,-9.296
-0.00001227,-0.6344,-0.00001227,-9.296
-0.00001226,-0.732,-0.00001226,-10.624
-0.00001225,-0.6832,-0.00001225,-9.296
-0.00001224,-0.6344,-0.00001224,-9.296
-0.00001223,-0.6344,-0.00001223,-6.64
-0.00001222,-0.6832,-0.00001222,-10.624
-0.00001221,-0.6344,-0.00001221,-10.624
-0.0000122,-0.5856,-0.0000122,-9.296
-0.00001219,-0.5856,-0.00001219,-9.296
-0.00001218,-0.5368,-0.00001218,-7.968
-0.00001217,-0.6344,-0.00001217,-9.296
-0.00001216,-0.5856,-0.00001216,-7.968
-0.00001215,-0.5368,-0.00001215,-9.296
-0.00001214,-0.488,-0.00001214,-7.968
-0.00001213,-0.5368,-0.00001213,-7.968
-0.00001212,-0.5856,-0.00001212,-9.296
-0.00001211,-0.488,-0.00001211,-9.296
-0.0000121,-0.6344,-0.0000121,-7.968
-0.00001209,-0.4392,-0.00001209,-5.312
-0.00001208,-0.488,-0.00001208,-7.968
-0.00001207,-0.488,-0.00001207,-6.64
-0.00001206,-0.4392,-0.00001206,-9.296
-0.00001205,-0.488,-0.00001205,-7.968
-0.00001204,-0.4392,-0.00001204,-5.312
-0.00001203,-0.5856,-0.00001203,-7.968
-0.00001202,-0.4392,-0.00001202,-6.64
-0.00001201,-0.488,-0.00001201,-2.656
-0.000012,-0.3416,-0.000012,-7.968
-0.00001199,-0.4392,-0.00001199,-6.64
-0.00001198,-0.3904,-0.00001198,-6.64
-0.00001197,-0.3904,-0.00001197,-5.312
-0.00001196,-0.3416,-0.00001196,-7.968
-0.00001195,-0.488,-0.00001195,-5.312
-0.00001194,-0.2928,-0.00001194,-3.984
-0.00001193,-0.4392,-0.00001193,-5.312
-0.00001192,-0.3416,-0.00001192,-5.312
-0.00001191,-0.3904,-0.00001191,-6.64
-0.0000119,-0.2928,-0.0000119,-3.984
-0.00001189,-0.2928,-0.00001189,-3.984
-0.00001188,-0.2928,-0.00001188,-6.64
-0.00001187,-0.2928,-0.00001187,-3.984
-0.00001186,-0.3904,-0.00001186,-5.312
