time1(ch1),voltage1(ch1),time1(ch2),voltage1(ch2),time2(ch1),voltage2(ch1),time2(ch2),voltage2(ch2),time3(ch1),voltage3(ch1),time3(ch2),voltage3(ch2)
-0.0000125,-0.8216,-0.0000125,-15.008,-0.0000125,-1.988,-0.0000125,-54.72,-0.0000133,-2.4992,-0.0000133,-62.656
-0.00001249,-0.8848,-0.00001249,-16.08,-0.00001249,-2.0448,-0.00001249,-54.72,-0.00001329,-2.3856,-0.00001329,-61.232
-0.00001248,-0.948,-0.00001248,-15.008,-0.00001248,-2.1016,-0.00001248,-56.16,-0.00001328,-2.4424,-0.00001328,-61.232
-0.00001247,-0.8216,-0.00001247,-12.864,-0.00001247,-2.0448,-0.00001247,-54.72,-0.00001327,-2.3288,-0.00001327,-62.656
-0.00001246,-0.8216,-0.00001246,-13.936,-0.00001246,-2.0448,-0.00001246,-54.72,-0.00001326,-2.4424,-0.00001326,-61.232
-0.00001245,-0.8848,-0.00001245,-15.008,-0.00001245,-2.1016,-0.00001245,-50.4,-0.00001325,-2.3856,-0.00001325,-64.08
-0.00001244,-0.8848,-0.00001244,-15.008,-0.00001244,-2.0448,-0.00001244,-56.16,-0.00001324,-2.4424,-0.00001324,-61.232
-0.00001243,-0.8216,-0.00001243,-15.008,-0.00001243,-1.9312,-0.00001243,-51.84,-0.00001323,-2.4424,-0.00001323,-61.232
-0.00001242,-0.7584,-0.00001242,-15.008,-0.00001242,-2.1016,-0.00001242,-54.72,-0.00001322,-2.3856,-0.00001322,-61.232
-0.00001241,-0.8216,-0.00001241,-12.864,-0.00001241,-2.1016,-0.00001241,-54.72,-0.00001321,-2.3856,-0.00001321,-62.656
-0.0000124,-0.7584,-0.0000124,-12.864,-0.0000124,-1.988,-0.0000124,-54.72,-0.0000132,-2.3856,-0.0000132,-62.656
-0.00001239,-0.8848,-0.00001239,-13.936,-0.00001239,-1.9312,-0.00001239,-53.28,-0.00001319,-2.4424,-0.00001319,-59.808
-0.00001238,-0.7584,-0.00001238,-13.936,-0.00001238,-2.0448,-0.00001238,-51.84,-0.00001318,-2.4424,-0.00001318,-62.656
-0.00001237,-0.6952,-0.00001237,-11.792,-0.00001237,-1.988,-0.00001237,-53.28,-0.00001317,-2.4424,-0.00001317,-62.656
-0.00001236,-0.7584,-0.00001236,-11.792,-0.00001236,-1.988,-0.00001236,-54.72,-0.00001316,-2.4424,-0.00001316,-59.808
-0.00001235,-0.8216,-0.00001235,-16.08,-0.00001235,-1.988,-0.00001235,-51.84,-0.00001315,-2.4424,-0.00001315,-61.232
-0.00001234,-0.6952,-0.00001234,-12.864,-0.00001234,-1.9312,-0.00001234,-50.4,-0.00001314,-2.4424,-0.00001314,-62.656
-0.00001233,-0.6952,-0.00001233,-12.864,-0.00001233,-1.988,-0.00001233,-51.84,-0.00001313,-2.3288,-0.00001313,-61.232
-0.00001232,-0.7584,-0.00001232,-12.864,-0.00001232,-1.988,-0.00001232,-53.28,-0.00001312,-2.3856,-0.00001312,-62.656
-0.00001231,-0.7584,-0.00001231,-10.72,-0.00001231,-1.8744,-0.00001231,-51.84,-0.00001311,-2.4992,-0.00001311,-64.08
-0.0000123,-0.7584,-0.0000123,-11.792,-0.0000123,-1.9312,-0.0000123,-53.28,-0.0000131,-2.3856,-0.0000131,-61.232
-0.00001229,-0.7584,-0.00001229,-13.936,-0.00001229,-1.8176,-0.00001229,-50.4,-0.00001309,-2.3856,-0.00001309,-62.656
-0.00001228,-0.632,-0.00001228,-12.864,-0.00001228,-1.8744,-0.00001228,-51.84,-0.00001308,-2.4424,-0.00001308,-61.232
-0.00001227,-0.7584,-0.00001227,-12.864,-0.00001227,-1.8744,-0.00001227,-50.4,-0.00001307,-2.4424,-0.00001307,-61.232
-0.00001226,-0.6952,-0.00001226,-11.792,-0.00001226,-1.9312,-0.00001226,-51.84,-0.00001306,-2.3288,-0.00001306,-62.656
-0.00001225,-0.6952,-0.00001225,-12.864,-0.00001225,-1.8176,-0.00001225,-53.28,-0.00001305,-2.4424,-0.00001305,-61.232
-0.00001224,-0.632,-0.00001224,-11.792,-0.00001224,-1.988,-0.00001224,-48.96,-0.00001304,-2.4424,-0.00001304,-59.808
-0.00001223,-0.7584,-0.00001223,-12.864,-0.00001223,-1.8176,-0.00001223,-50.4,-0.00001303,-2.4424,-0.00001303,-59.808
-0.00001222,-0.7584,-0.00001222,-11.792,-0.00001222,-1.8744,-0.00001222,-48.96,-0.00001302,-2.3856,-0.00001302,-61.232
-0.00001221,-0.6952,-0.00001221,-11.792,-0.00001221,-1.8744,-0.00001221,-50.4,-0.00001301,-2.3288,-0.00001301,-61.232
