time1(ch1),voltage1(ch1),time1(ch2),voltage1(ch2),time2(ch1),voltage2(ch1),time2(ch2),voltage2(ch2)
-0.0000133,-2.2176,-0.0000133,-61.824,-0.0000133,-2.2176,-0.0000133,-61.824
-0.00001329,-2.1672,-0.00001329,-61.824,-0.00001329,-2.2176,-0.00001329,-61.824
-0.00001328,-2.2176,-0.00001328,-60.352,-0.00001328,-2.268,-0.00001328,-63.296
-0.00001327,-2.1672,-0.00001327,-64.768,-0.00001327,-2.268,-0.00001327,-61.824
-0.00001326,-2.1672,-0.00001326,-60.352,-0.00001326,-2.3184,-0.00001326,-63.296
-0.00001325,-2.1672,-0.00001325,-60.352,-0.00001325,-2.1672,-0.00001325,-60.352
-0.00001324,-2.2176,-0.00001324,-61.824,-0.00001324,-2.3688,-0.00001324,-63.296
-0.00001323,-2.2176,-0.00001323,-61.824,-0.00001323,-2.2176,-0.00001323,-61.824
-0.00001322,-2.3184,-0.00001322,-63.296,-0.00001322,-2.268,-0.00001322,-61.824
-0.00001321,-2.1672,-0.00001321,-61.824,-0.00001321,-2.2176,-0.00001321,-61.824
-0.0000132,-2.1672,-0.0000132,-63.296,-0.0000132,-2.2176,-0.0000132,-63.296
-0.00001319,-2.0664,-0.00001319,-61.824,-0.00001319,-2.1672,-0.00001319,-60.352
-0.00001318,-2.2176,-0.00001318,-63.296,-0.00001318,-2.3184,-0.00001318,-60.352
-0.00001317,-2.2176,-0.00001317,-60.352,-0.00001317,-2.3184,-0.00001317,-60.352
-0.00001316,-2.1168,-0.00001316,-60.352,-0.00001316,-2.2176,-0.00001316,-60.352
-0.00001315,-2.2176,-0.00001315,-64.768,-0.00001315,-2.2176,-0.00001315,-61.824
-0.00001314,-2.1168,-0.00001314,-63.296,-0.00001314,-2.268,-0.00001314,-64.768
-0.00001313,-2.1672,-0.00001313,-63.296,-0.00001313,-2.3184,-0.00001313,-60.352
-0.00001312,-2.0664,-0.00001312,-60.352,-0.00001312,-2.2176,-0.00001312,-60.352
