2_time1(ch1),2_voltage1(ch1),3_time1(ch1),3_voltage1(ch1),4_time1(ch1),4_voltage1(ch1),5_time1(ch1),5_voltage1(ch1),6_time1(ch1),6_voltage1(ch1),7_time1(ch1),7_voltage1(ch1)
-0.000000268,0,-0.000000125,0,-0.000000125,-0.008,-0.000000268,-0.008,-0.000000268,0,-0.000000268,0.0088
-0.0000002678,0,-0.0000001249,0,-0.0000001249,-0.008,-0.0000002678,-0.008,-0.0000002678,0,-0.0000002678,0.0096
-0.0000002676,0,-0.0000001248,0,-0.0000001248,-0.008,-0.0000002676,-0.008,-0.0000002676,0,-0.0000002676,0.0096
-0.0000002674,0,-0.0000001247,0,-0.0000001247,-0.008,-0.0000002674,-0.008,-0.0000002674,0,-0.0000002674,0.0088
-0.0000002672,0,-0.0000001246,0.02,-0.0000001246,-0.008,-0.0000002672,0,-0.0000002672,0,-0.0000002672,0.008
-0.000000267,0,-0.0000001245,0.02,-0.0000001245,-0.008,-0.000000267,0,-0.000000267,0,-0.000000267,0.008
-0.0000002668,0.02,-0.0000001244,0.02,-0.0000001244,-0.008,-0.0000002668,0,-0.0000002668,0,-0.0000002668,0.0072
-0.0000002666,0,-0.0000001243,0.02,-0.0000001243,-0.008,-0.0000002666,0,-0.0000002666,0,-0.0000002666,0.0072
-0.0000002664,0,-0.0000001242,0.02,-0.0000001242,-0.008,-0.0000002664,0,-0.0000002664,0,-0.0000002664,0.0064
-0.0000002662,0,-0.0000001241,0.02,-0.0000001241,-0.008,-0.0000002662,0,-0.0000002662,0,-0.0000002662,0.0064
-0.000000266,0,-0.000000124,0.02,-0.000000124,-0.008,-0.000000266,0,-0.000000266,0,-0.000000266,0.0064
-0.0000002658,0,-0.0000001239,0.02,-0.0000001239,-0.008,-0.0000002658,0,-0.0000002658,0,-0.0000002658,0.0064
-0.0000002656,0,-0.0000001238,0.02,-0.0000001238,-0.008,-0.0000002656,0,-0.0000002656,0,-0.0000002656,0.0072
-0.0000002654,0,-0.0000001237,0.02,-0.0000001237,0,-0.0000002654,0,-0.0000002654,0,-0.0000002654,0.0072
-0.0000002652,0,-0.0000001236,0.02,-0.0000001236,0,-0.0000002652,0.008,-0.0000002652,0,-0.0000002652,0.0072
-0.000000265,0,-0.0000001235,0.02,-0.0000001235,0,-0.000000265,0,-0.000000265,0,-0.000000265,0.0072
-0.0000002648,0.02,-0.0000001234,0.02,-0.0000001234,0,-0.0000002648,0,-0.0000002648,0,-0.0000002648,0.0072
-0.0000002646,0,-0.0000001233,0,-0.0000001233,0,-0.0000002646,0,-0.0000002646,0,-0.0000002646,0.008
-0.0000002644,0,-0.0000001232,0,-0.0000001232,0.008,-0.0000002644,0,-0.0000002644,0,-0.0000002644,0.008
-0.0000002642,0,-0.0000001231,0,-0.0000001231,0.008,-0.0000002642,0,-0.0000002642,0,-0.0000002642,0.008
-0.000000264,0,-0.000000123,0,-0.000000123,0.008,-0.000000264,0,-0.000000264,0,-0.000000264,0.008
-0.0000002638,0,-0.0000001229,0,-0.0000001229,0.008,-0.0000002638,-0.008,-0.0000002638,0,-0.0000002638,0.008
-0.0000002636,0,-0.0000001228,0,-0.0000001228,0.008,-0.0000002636,-0.008,-0.0000002636,0,-0.0000002636,0.008
-0.0000002634,-0.02,-0.0000001227,0,-0.0000001227,0.008,-0.0000002634,0,-0.0000002634,0,-0.0000002634,0.0072
-0.0000002632,-0.02,-0.0000001226,0,-0.0000001226,0.008,-0.0000002632,0,-0.0000002632,0,-0.0000002632,0.0072
-0.000000263,0,-0.0000001225,0,-0.0000001225,0.016,-0.000000263,0,-0.000000263,0,-0.000000263,0.0064
-0.0000002628,0,-0.0000001224,0,-0.0000001224,0.016,-0.0000002628,0,-0.0000002628,0,-0.0000002628,0.0064
-0.0000002626,0,-0.0000001223,0,-0.0000001223,0.016,-0.0000002626,0,-0.0000002626,0,-0.0000002626,0.0064
-0.0000002624,0,-0.0000001222,0,-0.0000001222,0.016,-0.0000002624,0,-0.0000002624,0,-0.0000002624,0.0064
-0.0000002622,0,-0.0000001221,0,-0.0000001221,0.016,-0.0000002622,0.008,-0.0000002622,0.008,-0.0000002622,0.0064
-0.000000262,0,-0.000000122,0,-0.000000122,0.008,-0.000000262,0.008,-0.000000262,0,-0.000000262,0.0064
-0.0000002618,0.02,-0.0000001219,0,-0.0000001219,0.008,-0.0000002618,0.008,-0.0000002618,0,-0.0000002618,0.0064
-0.0000002616,0.02,-0.0000001218,0,-0.0000001218,0.008,-0.0000002616,0.008,-0.0000002616,0,-0.0000002616,0.0072
-0.0000002614,0.02,-0.0000001217,0,-0.0000001217,0.008,-0.0000002614,0.008,-0.0000002614,0,-0.0000002614,0.0072
-0.0000002612,0.02,-0.0000001216,0.02,-0.0000001216,0.008,-0.0000002612,0.008,-0.0000002612,0,-0.0000002612,0.0072
-0.000000261,0.02,-0.0000001215,0.02,-0.0000001215,0.008,-0.000000261,0.008,-0.000000261,0,-0.000000261,0.008
-0.0000002608,0.02,-0.0000001214,0.02,-0.0000001214,0.008,-0.0000002608,0.008,-0.0000002608,0,-0.0000002608,0.008
-0.0000002606,0.02,-0.0000001213,0,-0.0000001213,0.008,-0.0000002606,0.008,-0.0000002606,0,-0.0000002606,0.0088
-0.0000002604,0.02,-0.0000001212,0,-0.0000001212,0.008,-0.0000002604,0.008,-0.0000002604,0,-0.0000002604,0.0088
-0.0000002602,0.02,-0.0000001211,0,-0.0000001211,0.008,-0.0000002602,0.008,-0.0000002602,0.008,-0.0000002602,0.0088
-0.00000026,0.02,-0.000000121,0,-0.000000121,0.008,-0.00000026,0.008,-0.00000026,0.008,-0.00000026,0.0088
-0.0000002598,0.04,-0.0000001209,0,-0.0000001209,0.008,-0.0000002598,0.008,-0.0000002598,0.008,-0.0000002598,0.0088
-0.0000002596,0.04,-0.0000001208,0,-0.0000001208,0.008,-0.0000002596,0.008,-0.0000002596,0.008,-0.0000002596,0.0088
-0.0000002594,0.02,-0.0000001207,0,-0.0000001207,0.008,-0.0000002594,0.008,-0.0000002594,0.016,-0.0000002594,0.008
-0.0000002592,0.02,-0.0000001206,0,-0.0000001206,0.008,-0.0000002592,0.016,-0.0000002592,0.016,-0.0000002592,0.008
-0.000000259,0.02,-0.0000001205,0,-0.0000001205,0.008,-0.000000259,0.016,-0.000000259,0.008,-0.000000259,0.0072
-0.0000002588,0.02,-0.0000001204,0,-0.0000001204,0.008,-0.0000002588,0.016,-0.0000002588,0.008,-0.0000002588,0.0072
-0.0000002586,0,-0.0000001203,0,-0.0000001203,0.016,-0.0000002586,0.016,-0.0000002586,0.008,-0.0000002586,0.0072
-0.0000002584,0,-0.0000001202,0,-0.0000001202,0.016,-0.0000002584,0.016,-0.0000002584,0.008,-0.0000002584,0.0072
-0.0000002582,0,-0.0000001201,0,-0.0000001201,0.016,-0.0000002582,0.016,-0.0000002582,0.008,-0.0000002582,0.0072
-0.000000258,0,-0.00000012,0,-0.00000012,0.016,-0.000000258,0.016,-0.000000258,0.008,-0.000000258,0.0072
-0.0000002578,0,-0.0000001199,0,-0.0000001199,0.008,-0.0000002578,0.016,-0.0000002578,0.008,-0.0000002578,0.0072
-0.0000002576,0,-0.0000001198,0,-0.0000001198,0.008,-0.0000002576,0.016,-0.0000002576,0.008,-0.0000002576,0.008
-0.0000002574,-0.02,-0.0000001197,0,-0.0000001197,0.008,-0.0000002574,0.016,-0.0000002574,0.008,-0.0000002574,0.008
-0.0000002572,-0.02,-0.0000001196,0.02,-0.0000001196,0.008,-0.0000002572,0.016,-0.0000002572,0.008,-0.0000002572,0.008
-0.000000257,0,-0.0000001195,0.02,-0.0000001195,0.008,-0.000000257,0.016,-0.000000257,0,-0.000000257,0.008
-0.0000002568,0,-0.0000001194,0.02,-0.0000001194,0.008,-0.0000002568,0.016,-0.0000002568,0,-0.0000002568,0.0088
-0.0000002566,0,-0.0000001193,0,-0.0000001193,0.008,-0.0000002566,0.016,-0.0000002566,0,-0.0000002566,0.0088
-0.0000002564,0,-0.0000001192,0,-0.0000001192,0.008,-0.0000002564,0.016,-0.0000002564,0,-0.0000002564,0.008
-0.0000002562,0,-0.0000001191,0,-0.0000001191,0.008,-0.0000002562,0.016,-0.0000002562,0,-0.0000002562,0.008
-0.000000256,0,-0.000000119,0,-0.000000119,0,-0.000000256,0.008,-0.000000256,0,-0.000000256,0.0072
-0.0000002558,0.02,-0.0000001189,0,-0.0000001189,0,-0.0000002558,0.008,-0.0000002558,-0.008,-0.0000002558,0.0072
-0.0000002556,0.02,-0.0000001188,0,-0.0000001188,0,-0.0000002556,0,-0.0000002556,-0.008,-0.0000002556,0.0072
-0.0000002554,0.02,-0.0000001187,0,-0.0000001187,0,-0.0000002554,0,-0.0000002554,0,-0.0000002554,0.0064
-0.0000002552,0.02,-0.0000001186,0,-0.0000001186,0,-0.0000002552,0,-0.0000002552,0,-0.0000002552,0.0064
-0.000000255,0.02,-0.0000001185,0,-0.0000001185,0,-0.000000255,0,-0.000000255,0,-0.000000255,0.0064
-0.0000002548,0.02,-0.0000001184,0,-0.0000001184,0,-0.0000002548,0,-0.0000002548,0,-0.0000002548,0.0064
-0.0000002546,0.02,-0.0000001183,0,-0.0000001183,0,-0.0000002546,0,-0.0000002546,0,-0.0000002546,0.0072
-0.0000002544,0,-0.0000001182,0,-0.0000001182,0,-0.0000002544,0,-0.0000002544,0,-0.0000002544,0.0072
-0.0000002542,0,-0.0000001181,0,-0.0000001181,0,-0.0000002542,0.008,-0.0000002542,0.008,-0.0000002542,0.0072
